size,rho_hedef,rho,tekrar,sifreleme_s,sunucu_s,cozme_s,toplam_s,ciphertext_sayisi,sifreli_slot,yukleme_MB
64,0.01,0.0087890625,0,0.012014599982649088,1.2243513999856077,0.017448200029321015,1.2538141999975778,1,64,0.855487
64,0.01,0.0087890625,1,0.010606599971652031,1.2065590999554843,0.022683000017423183,1.2398486999445595,1,64,
64,0.01,0.0087890625,2,0.013736599998082966,1.1845931999851018,0.018182599975261837,1.2165123999584466,1,64,
64,0.05,0.0478515625,0,0.011145099997520447,1.5418530000024475,0.01758819998940453,1.5705862999893725,1,256,0.855107
64,0.05,0.0478515625,1,0.01041730004362762,1.4482373999780975,0.017997600021772087,1.4766523000434972,1,256,
64,0.05,0.0478515625,2,0.010720999969635159,1.4584801000310108,0.019802099966909736,1.4890031999675557,1,256,
64,0.1,0.09765625,0,0.011305799998808652,1.5886486999806948,0.023295700026210397,1.6232502000057139,1,512,0.855688
64,0.1,0.09765625,1,0.012306699994951487,1.5304346000193618,0.018354899948462844,1.5610961999627762,1,512,
64,0.1,0.09765625,2,0.01054009998915717,1.5494217000086792,0.0180133999674581,1.5779751999652945,1,512,
64,0.25,0.25,0,0.010921900044195354,1.6518306999932975,0.0230522999772802,1.685804900014773,1,1024,0.855779
64,0.25,0.25,1,0.011597300006542355,1.687431700003799,0.019688600033987314,1.7187176000443287,1,1024,
64,0.25,0.25,2,0.01097279996611178,1.6705129999900237,0.017614199954550713,1.6990999999106862,1,1024,
64,0.5,0.494384765625,0,0.011145600001327693,1.6838683999958448,0.017037799989338964,1.7120517999865115,1,2048,0.856016
64,0.5,0.494384765625,1,0.010623299982398748,1.5981717000249773,0.01742529997136444,1.6262202999787405,1,2048,
64,0.5,0.494384765625,2,0.012325300020165741,1.661435900023207,0.016765000007580966,1.6905262000509538,1,2048,
64,0.75,0.738525390625,0,0.010577600041870028,1.697380100027658,0.016998799983412027,1.72495650005294,1,4096,0.855962
64,0.75,0.738525390625,1,0.010649100004229695,1.6625431000138633,0.02267890004441142,1.6958711000625044,1,4096,
64,0.75,0.738525390625,2,0.014323599985800683,1.926734699984081,0.017894099990371615,1.9589523999602534,1,4096,
64,0.9,0.908447265625,0,0.013378000003285706,1.975831300020218,0.021661399980075657,2.0108707000035793,1,4096,0.855923
64,0.9,0.908447265625,1,0.011070000007748604,1.9254373000003397,0.022585799975786358,1.9590930999838747,1,4096,
64,0.9,0.908447265625,2,0.011616399977356195,1.9306475999765098,0.01766379998298362,1.9599277999368496,1,4096,
64,1.0,1.0,0,0.011122099997010082,1.9631457999930717,0.019617499958258122,1.99388539994834,1,4096,0.85595
64,1.0,1.0,1,0.01440280000679195,1.9098403999814764,0.01887560001341626,1.9431188000016846,1,4096,
