veri,hedef,gorus,tohum,gizli_alan_ort,auc,ci95_alt,ci95_ust,n,sure_s,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
beyin MR (Cheng),tümör tipi (3 sınıf),tam,0,0.0,0.984388010283736,0.964240576763644,0.9957064844445274,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),tam,1,0.0,0.9850242579103524,0.9667882490818406,0.9956179586062852,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),tam,2,0.0,0.9856239118596278,0.9689619200657774,0.995797300197495,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),tam,3,0.0,0.985093780231268,0.9667669998791196,0.9951918138570393,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),tam,4,0.0,0.9859322047193938,0.9685496205374018,0.9960753866223788,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,0,0.0169200226664543,0.9765623796888152,0.955954515568852,0.990556284215244,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,1,0.0169200226664543,0.9756749136001815,0.9556176884052529,0.9898082510415112,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,2,0.0169200226664543,0.9760304362873076,0.9560687606713016,0.9902813711170868,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,3,0.0169200226664543,0.9779154665254391,0.9593822570800894,0.990567914762941,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,4,0.0169200226664543,0.976531710510266,0.9555130296811766,0.9914993391217668,3064,,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,0,0.2479334771633148,0.9661150694007986,0.9439947968889713,0.982881785894782,3064,350.82393659994705,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,1,0.2479334771633148,0.9640222995219068,0.9426480682999424,0.9820463998264476,3064,306.5709144999855,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,2,0.2479334771633148,0.9677335707136624,0.949625105113828,0.9830340676464376,3064,307.0292182000121,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,3,0.2479334771633148,0.9677310398443484,0.947665121408927,0.9835390503541072,3064,307.2951650999603,,,
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,4,0.2479334771633148,0.969744366723524,0.950295045824322,0.9845677377238896,3064,307.5550089000026,,,
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),tam,0,0.0,0.996749643423314,0.995944512801954,0.9975322085846968,6788,194.04670159996024,0.9928913058808402,0.999681774725382,0.9996892104890068
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),tam,1,0.0,0.9967559585973008,0.9959630476003218,0.9974956792508788,6788,176.41922919999342,0.9925497052735502,0.999801962811933,0.9997010712693908
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),tam,2,0.0,0.996304592223898,0.995410312672792,0.9971029449381776,6788,176.25999089999823,0.9915006367418728,0.9996755311884182,0.9996945849051184
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),tam,3,0.0,0.9966426112288014,0.9957929114191286,0.9974023706899404,6788,176.37663319997955,0.9921133193125676,0.9996025598501552,0.9997233102326104
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),tam,4,0.0,0.9963909882268548,0.995464419625286,0.9971993804698632,6788,176.3499402999878,0.9917982669006228,0.9996339726455036,0.99973813620809
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam,0,0.2352039813995361,0.993313383823048,0.9920489335501778,0.994500572587138,6788,176.01656189997448,0.9835826374802444,0.9995112481220612,0.999689951787781
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam,1,0.2352039813995361,0.993025101208748,0.99175719064606,0.9941736970271078,6788,176.40698620001783,0.982672946974128,0.9995071508009288,0.9995861699594232
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam,2,0.2352039813995361,0.9931458434261308,0.9918736766136174,0.9942757112172772,6788,176.46152309997706,0.9833362370421992,0.99937389030886,0.9995546647615288
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam,3,0.2352039813995361,0.9933314316968416,0.9920848556936892,0.994417769459873,6788,176.4403675000067,0.9825673764160768,0.9996146567030224,0.9997559273786656
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam,4,0.2352039813995361,0.9932043574290024,0.9918739786296102,0.9943086371334372,6788,176.41723730001831,0.98275113970573,0.9997024564415742,0.9995876525569712
akciğer grafisi (COVID-QU-Ex),teşhis (3 sınıf),baglam_genis40,0,0.8742920160293579,0.9574068538814164,0.953744058195528,0.9609241062881392,6788,290.43721529998584,0.9507572457906592,0.9771790919555928,0.9760955237600156
