veri,bozulma,duzey,gorus,aciklama,tohum,auc,ci95_alt,ci95_ust,n,epoch,sure_s
beyin MR (Cheng),gauss,0.05,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9712575213392944,0.9513478773379522,0.9866699380664558,3064,12,235.53023409994785
beyin MR (Cheng),gauss,0.05,tam,"fayda: ROI temiz, bağlam bozuk",0,0.990947197029275,0.9803908953909886,0.9969974147390344,3064,12,188.5891993000405
beyin MR (Cheng),gauss,0.1,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9713057254431728,0.9516150415711214,0.98662711324232,3064,12,188.9565816000104
beyin MR (Cheng),gauss,0.1,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9870524720354285,0.967826994249722,0.9971350280032882,3064,12,188.960327000008
beyin MR (Cheng),gauss,0.2,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.972618634580516,0.9571837954491376,0.985772817517629,3064,12,189.2143268999644
beyin MR (Cheng),gauss,0.2,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9877758036117344,0.9727602743474576,0.996205409120652,3064,12,189.04182460007723
beyin MR (Cheng),gauss,0.4,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9685073994479052,0.949805769505165,0.9830520321483244,3064,12,189.4324875000165
beyin MR (Cheng),gauss,0.4,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9862152440288148,0.971232960934464,0.9955926210646632,3064,12,189.1322148999897
beyin MR (Cheng),bulanik,2.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9786349392035903,0.9615507205548376,0.990776539097146,3064,12,192.8624310999876
beyin MR (Cheng),bulanik,2.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9935544924030252,0.9851985072371856,0.9983260473045482,3064,12,191.4789411999518
beyin MR (Cheng),bulanik,4.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9783927490349268,0.962349043912212,0.9904832842325222,3064,12,194.55801449995488
beyin MR (Cheng),bulanik,4.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.993317594950208,0.9843991589274332,0.9982427893706012,3064,12,193.3005328999133
beyin MR (Cheng),bulanik,8.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.974423315578465,0.9576232670400444,0.9861743698761648,3064,12,203.79737469996329
beyin MR (Cheng),bulanik,8.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9938619001326976,0.9875556280556126,0.9977468350073896,3064,12,200.2003790999297
akciğer grafisi (COVID-QU-Ex),gauss,0.05,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.991598927057104,0.9902315483838424,0.9930014384865706,6788,5,179.35113540000748
akciğer grafisi (COVID-QU-Ex),gauss,0.05,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9961074418068732,0.9952633635209568,0.9968793584150022,6788,5,178.06559659994673
akciğer grafisi (COVID-QU-Ex),gauss,0.1,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9893025565757508,0.9877107456907204,0.9907380027416154,6788,5,178.14669740002137
akciğer grafisi (COVID-QU-Ex),gauss,0.1,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9953910730434496,0.9944321922572652,0.9962354991856204,6788,5,178.32504099991638
akciğer grafisi (COVID-QU-Ex),gauss,0.2,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9863507103563354,0.9845902763253218,0.9879686045619288,6788,5,178.36901389993727
akciğer grafisi (COVID-QU-Ex),gauss,0.2,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9946168477211526,0.9936041645564936,0.995567097685299,6788,5,178.2065274999477
akciğer grafisi (COVID-QU-Ex),gauss,0.4,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9833616686517184,0.981333573655122,0.9852075067977868,6788,5,178.37973499996588
akciğer grafisi (COVID-QU-Ex),gauss,0.4,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9932324013527746,0.992079131468702,0.994368578408012,6788,5,178.29704510001466
akciğer grafisi (COVID-QU-Ex),bulanik,2.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9919462450122528,0.9905261822932268,0.9932963802654406,6788,5,180.7318413000321
akciğer grafisi (COVID-QU-Ex),bulanik,2.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9958265502915226,0.9948282774899394,0.9966725631132844,6788,5,180.6566238000524
akciğer grafisi (COVID-QU-Ex),bulanik,4.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9911923774426572,0.9896694154017772,0.992496150353775,6788,5,182.42027940007392
akciğer grafisi (COVID-QU-Ex),bulanik,4.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9955669282298686,0.9945928810613138,0.9964361360928988,6788,5,182.0647226999281
akciğer grafisi (COVID-QU-Ex),bulanik,8.0,baglam,"saldırgan: ROI gizli, bağlam bozuk",0,0.9882419715116928,0.986603480758292,0.9898380897213932,6788,5,188.5671456999844
akciğer grafisi (COVID-QU-Ex),bulanik,8.0,tam,"fayda: ROI temiz, bağlam bozuk",0,0.9942766582109505,0.9931614058909398,0.9952576611280392,6788,5,188.1805047999369
