veri,yapilandirma,F,P,k,G,sifreli_deger,ciphertext,tohum,epoch,auc,ci95_alt,ci95_ust,n,sure_s,auc_kat_ort,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
beyin MR (Cheng),tam,0,0,,224,50176,7,0,12,0.9824618440905878,0.9604667279213356,0.9954020272462828,3064,233.9237085999921,0.985976359148683,,,
beyin MR (Cheng),sabit,0,0,,0,0,0,0,1,0.5050088650964928,0.4463914143795632,0.5667246161760993,3064,19.529905800009143,0.5,,,
beyin MR (Cheng),F64_G32,64,0,,32,5123,1,0,12,0.993506517492496,0.9870878807740358,0.9975616012282146,3064,192.55212220002431,0.9941730310746052,,,
beyin MR (Cheng),U64,0,0,,64,4096,1,0,12,0.9836013181311866,0.9626408201621568,0.995442990621506,3064,188.64449789992068,0.9859835545674768,,,
beyin MR (Cheng),F64_P32k2_G32,64,32,2.0,32,6147,1,0,12,0.9901919421648572,0.978041825447614,0.9972587569211152,3064,195.29396190005355,0.9915987923116202,,,
beyin MR (Cheng),U90,0,0,,90,8100,1,0,12,0.9892639964779628,0.9757485680095852,0.9971206574751472,3064,213.7755776999984,0.991293365992353,,,
beyin MR (Cheng),F32_G16,32,0,,16,1283,1,0,12,0.992369319828691,0.9861113413735424,0.9966840085547082,3064,200.40115890000013,0.9932370681047852,,,
beyin MR (Cheng),U32,0,0,,32,1024,1,0,12,0.9791032527504476,0.9640521459367318,0.9890729733678912,3064,202.2676885999972,0.980862404174072,,,
beyin MR (Cheng),F64,64,0,,0,4099,1,0,12,0.9849035783195764,0.9774818057835072,0.991297776298426,3064,204.87350569991395,0.9854359484776016,,,
beyin MR (Cheng),F64_P32k3_G32,64,32,3.0,32,6147,1,0,12,0.9928363691702184,0.9849725049783388,0.9977824832681372,3064,216.7828751000343,0.9938179973464648,,,
