veri,yapilandirma,F,P,k,G,sifreli_deger,ciphertext,tohum,epoch,auc,ci95_alt,ci95_ust,n,sure_s,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19,auc_kat_ort
beyin MR (Cheng),tam,0,0,,224,50176,7,0,1,0.9922948355717396,0.9833881564855584,0.9976754060966546,542,22.660832699970346,,,,0.9922948355717396
beyin MR (Cheng),sabit,0,0,,0,0,0,0,1,0.5,0.5,0.5,542,5.043390299892053,,,,0.5
beyin MR (Cheng),F64_P32k2_G32,64,32,2.0,32,6147,1,0,1,0.9908727697304176,0.9786133124065752,0.99753579924695,542,5.371483900002204,,,,0.9908727697304176
beyin MR (Cheng),U64,0,0,,64,4096,1,0,1,0.9859500491719076,0.9701080772663564,0.9954185745771574,542,5.334730400005356,,,,0.9859500491719076
akciğer grafisi (COVID-QU-Ex),tam,0,0,,224,50176,7,0,1,0.983939896915486,0.9792828566737682,0.9886693765109212,1000,14.565928500029258,0.980297131147541,0.9902666666666669,0.9942819672131148,
akciğer grafisi (COVID-QU-Ex),sabit,0,0,,0,0,0,0,1,0.5,0.5,0.5,1000,6.117163399932906,0.5,0.5,0.5,
akciğer grafisi (COVID-QU-Ex),F64_P32k2_G32,64,32,2.0,32,6147,1,0,1,0.9698215528782376,0.9607476350045536,0.9766302278698726,1000,6.640727299964055,0.978565573770492,0.9759,0.9826185792349728,
akciğer grafisi (COVID-QU-Ex),U64,0,0,,64,4096,1,0,1,0.9726685224926712,0.9645256008623392,0.979104501865947,1000,6.412340100039728,0.9771516393442624,0.9822083333333332,0.9876546448087432,
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,0,1,0.9966700335491456,0.991429270839146,0.999609684606963,542,42.49787830002606,,,,0.9966700335491456
beyin MR (Cheng),F64,64,0,,0,4099,1,0,1,0.9689602067846971,0.9403883302328699,0.9865232068708174,542,13.631260099937208,,,,0.9689602067846971
