veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s,auc_kat_ort
beyin MR (Cheng),C,U32,es_ornekli,1024,0,0.8549769248095735,0.8315440536616833,0.8769255682847528,3064,9.2,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.237716461905848e-06,28.95670947320724,10.72401909995824,0.8631446046957066
beyin MR (Cheng),D,U32,es_ornekli,1024,0,0.8794866317471143,0.85218001075789,0.9021810941226488,3064,14.2,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,7.90641915049406e-07,9.149268706968908,9.630966800032184,0.88197412885023
beyin MR (Cheng),C,F16_G27,odakli,985,0,0.94226126294994,0.9232892269240348,0.958229767095418,3064,29.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.7822514232500595e-06,32.03408172779368,21.90326679998543,0.9444171777295722
beyin MR (Cheng),D,F16_G27,odakli,988,0,0.9563383276159394,0.9389959178494238,0.9701503230045456,3064,8.8,10/10/0.0001/10/10,0.001/0.001/0.001/0.001/0.001,,8.342140187522773e-07,14.328846456650986,8.668445600080304,0.9576368376686916
beyin MR (Cheng),C,F22_G23,odakli,1013,0,0.919906056909884,0.8996404028853154,0.9370278297817044,3064,25.2,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.4994658014421134e-06,29.257129191751563,17.0481658000499,0.9197516654070884
beyin MR (Cheng),D,F22_G23,odakli,1016,0,0.953691752931118,0.9356433273985268,0.9679039458616232,3064,11.4,10/10/0.0001/10/10,0.001/0.001/0.001/0.001/0.001,,7.353840856261229e-07,13.42539323471662,9.11940239998512,0.95516133063961
beyin MR (Cheng),C,F27_G17,odakli,1018,0,0.9520590484275432,0.9362881224200994,0.9668631857345524,3064,64.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.3196430074534646e-06,24.55361743129693,24.586199500015937,0.955991548819034
beyin MR (Cheng),D,F27_G17,odakli,1021,0,0.950052480364254,0.931137793137778,0.9656667751830348,3064,19.2,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,7.006195916758884e-07,12.3821511014897,11.106222399976104,0.9520937585558382
beyin MR (Cheng),C,F31,odakli,961,0,0.9148092542106792,0.8954291865687276,0.9325759609031604,3064,57.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.819035171379824e-06,6.129497498810784,20.798674300080165,0.917310146898812
beyin MR (Cheng),D,F31,odakli,964,0,0.8811562788039851,0.8524329307197057,0.9047852244609246,3064,12.4,1/1/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.880070993109939e-06,14.701843558153223,10.0039611000102,0.8824055838736162
beyin MR (Cheng),C,U45,es_ornekli,2025,0,0.8467634049606371,0.8237975743534489,0.8710911096007246,3064,6.2,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.3055627414715332e-06,41.262898109878535,10.327400000067428,0.8517735441571089
beyin MR (Cheng),D,U45,es_ornekli,2025,0,0.883634263627674,0.8580761636240455,0.9057118915843392,3064,15.0,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,7.324025372845711e-07,12.600507838078649,11.413214599946514,0.8858141777406615
beyin MR (Cheng),C,F22_G39,odakli,2005,0,0.9404421128888872,0.9220876599396892,0.9572286013440536,3064,40.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.219075321718833e-06,39.15647655678665,21.07642549998127,0.9411815300555408
beyin MR (Cheng),D,F22_G39,odakli,2008,0,0.9495394949313488,0.9318541241263,0.9642103653931634,3064,6.8,10/10/1/10/10,0.001/0.001/0.001/0.001/0.001,,8.76439738561885e-07,16.764991956910034,8.496779599925503,0.9507974955442892
beyin MR (Cheng),C,F32_G31,odakli,1985,0,0.901337021774872,0.8759882248937514,0.9234743552919829,3064,14.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.6720847511031425e-06,33.722626422452244,13.882952900021335,0.9111621076650052
beyin MR (Cheng),D,F32_G31,odakli,1988,0,0.9495607815871208,0.9297670210269636,0.9648136477367454,3064,8.6,10/10/1/10/10,0.001/0.001/0.001/0.001/0.001,,7.749823245362109e-07,13.641588387216531,8.78253829991445,0.9507468529671096
beyin MR (Cheng),C,F39_G22,odakli,2005,0,0.9554495091253508,0.9406339182180694,0.9689897372657026,3064,58.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.1035473665165227e-06,41.59777744626935,24.52461950003635,0.959648493854868
beyin MR (Cheng),D,F39_G22,odakli,2008,0,0.947467800038044,0.927597989916186,0.963343749610174,3064,17.2,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,7.985722154657537e-07,12.461319876522222,10.250328999944031,0.9496942449017484
beyin MR (Cheng),C,F45,odakli,2025,0,0.8917341271427154,0.8694701691137362,0.9132392589621672,3064,35.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.8983079136679635e-06,54.16276759349978,16.91224770003464,0.8932265309422165
