veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s
beyin MR (Cheng),C,U45,es_ornekli,2025,0,0.850979806522198,0.7935631431748542,0.8960995265063911,542,3.0,1,0.001,epoch,8.876820301040311e-07,27.41117895706288,2.8719124998897314
beyin MR (Cheng),D,U45,es_ornekli,2025,0,0.8674945482079383,0.807979443320682,0.919633513267331,542,3.0,10,0.001,epoch,5.519875991844003e-07,5.238140250112674,2.8356589999748394
beyin MR (Cheng),C,F22_G39,odakli,2005,0,0.8871024169042214,0.8257057205725183,0.9438129187447996,542,3.0,1,0.001,epoch,2.658633210472772e-06,32.185329494640314,2.912332099978812
beyin MR (Cheng),D,F22_G39,odakli,2008,0,0.9288584412310068,0.8736149326003384,0.9757239453735548,542,1.0,10,0.001,,8.76439738561885e-07,8.178896397433903,2.7551667999941856
beyin MR (Cheng),C,F32_G31,odakli,1985,0,0.8843960346647468,0.8137627162686847,0.9429668961301858,542,2.0,1,0.001,,2.768350920945295e-06,14.713570734041785,2.937673300039023
beyin MR (Cheng),D,F32_G31,odakli,1988,0,0.9387095337249236,0.8857491936978119,0.9788323949631343,542,3.0,10,0.001,epoch,5.452169133945972e-07,10.655105805844505,2.7496396000497043
beyin MR (Cheng),C,F39_G22,odakli,2005,0,0.8891794702059506,0.8269671408515463,0.9472800074957902,542,3.0,1,0.001,epoch,1.405105759744174e-06,39.88843715565946,2.871800099965185
beyin MR (Cheng),D,F39_G22,odakli,2008,0,0.9345572799631168,0.8817235473838172,0.97638769148283,542,3.0,10,0.001,epoch,5.40627194567378e-07,8.622880024601399,2.772654699976556
beyin MR (Cheng),C,F45,odakli,2025,0,0.8078883027465368,0.708365855372559,0.8892152506869851,542,3.0,10,0.001,epoch,2.3700530782377882e-07,7.998431119215773,2.853839799994603
beyin MR (Cheng),D,F45,odakli,2028,0,0.8697422443477261,0.7934250135027604,0.9303287577632905,542,1.0,10,0.001,,1.178440897753319e-06,10.941693096448619,2.7446299000876024
