butce,odak_payi_hedef,yapilandirma,F,G,sifreli_deger,odak_payi,veri,model,auc_ort,auc_std,tohum_sayisi
1024,0.0,U32,0,32,1024,0.0,akciğer grafisi (COVID-QU-Ex),C,0.918887366006212,,1
1024,0.0,U32,0,32,1024,0.0,akciğer grafisi (COVID-QU-Ex),D,0.8540444820427209,,1
1024,0.0,U32,0,32,1024,0.0,beyin MR (Cheng),C,0.8549769248095735,,1
1024,0.0,U32,0,32,1024,0.0,beyin MR (Cheng),D,0.8794866317471143,,1
1024,0.25,F16_G27,16,27,988,0.2591093117408907,akciğer grafisi (COVID-QU-Ex),C,0.9290602395719788,,1
1024,0.25,F16_G27,16,27,988,0.2591093117408907,akciğer grafisi (COVID-QU-Ex),D,0.913592535979556,,1
1024,0.25,F16_G27,16,27,988,0.2591093117408907,beyin MR (Cheng),C,0.94226126294994,,1
1024,0.25,F16_G27,16,27,988,0.2591093117408907,beyin MR (Cheng),D,0.9563383276159394,,1
1024,0.5,F22_G23,22,23,1016,0.4763779527559055,akciğer grafisi (COVID-QU-Ex),C,0.9322114203026652,,1
1024,0.5,F22_G23,22,23,1016,0.4763779527559055,akciğer grafisi (COVID-QU-Ex),D,0.9146101340701284,,1
1024,0.5,F22_G23,22,23,1016,0.4763779527559055,beyin MR (Cheng),C,0.919906056909884,,1
1024,0.5,F22_G23,22,23,1016,0.4763779527559055,beyin MR (Cheng),D,0.953691752931118,,1
1024,0.75,F27_G17,27,17,1021,0.7140058765915769,akciğer grafisi (COVID-QU-Ex),C,0.9308275077148424,,1
1024,0.75,F27_G17,27,17,1021,0.7140058765915769,akciğer grafisi (COVID-QU-Ex),D,0.9146403167040216,,1
1024,0.75,F27_G17,27,17,1021,0.7140058765915769,beyin MR (Cheng),C,0.9520590484275432,,1
1024,0.75,F27_G17,27,17,1021,0.7140058765915769,beyin MR (Cheng),D,0.950052480364254,,1
1024,1.0,F31,31,0,964,0.9968879668049793,akciğer grafisi (COVID-QU-Ex),C,0.9160983580570746,,1
1024,1.0,F31,31,0,964,0.9968879668049793,akciğer grafisi (COVID-QU-Ex),D,0.8999765443272524,,1
1024,1.0,F31,31,0,964,0.9968879668049793,beyin MR (Cheng),C,0.9148092542106792,,1
1024,1.0,F31,31,0,964,0.9968879668049793,beyin MR (Cheng),D,0.8811562788039851,,1
2048,0.0,U45,0,45,2025,0.0,akciğer grafisi (COVID-QU-Ex),C,0.9210459098551516,,1
2048,0.0,U45,0,45,2025,0.0,akciğer grafisi (COVID-QU-Ex),D,0.8661022054904493,,1
2048,0.0,U45,0,45,2025,0.0,beyin MR (Cheng),C,0.8467634049606371,,1
2048,0.0,U45,0,45,2025,0.0,beyin MR (Cheng),D,0.883634263627674,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,akciğer grafisi (COVID-QU-Ex),C,0.9397608011068056,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,akciğer grafisi (COVID-QU-Ex),D,0.9160386996377752,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,beyin MR (Cheng),C,0.9404421128888872,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,beyin MR (Cheng),D,0.9495394949313488,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,akciğer grafisi (COVID-QU-Ex),C,0.933512298081054,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,akciğer grafisi (COVID-QU-Ex),D,0.9159683424361236,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,beyin MR (Cheng),C,0.901337021774872,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,beyin MR (Cheng),D,0.9495607815871208,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,akciğer grafisi (COVID-QU-Ex),C,0.9332973544731004,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,akciğer grafisi (COVID-QU-Ex),D,0.91736700052255,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,beyin MR (Cheng),C,0.9554495091253508,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,beyin MR (Cheng),D,0.947467800038044,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,akciğer grafisi (COVID-QU-Ex),C,0.9191627297086616,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,akciğer grafisi (COVID-QU-Ex),D,0.9016411544225184,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,beyin MR (Cheng),C,0.8917341271427154,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,beyin MR (Cheng),D,0.8714210766817527,,1
4096,0.0,U64,0,64,4096,0.0,akciğer grafisi (COVID-QU-Ex),C,0.9164363735989756,,1
4096,0.0,U64,0,64,4096,0.0,akciğer grafisi (COVID-QU-Ex),D,0.8676045411397438,,1
4096,0.0,U64,0,64,4096,0.0,beyin MR (Cheng),C,0.8486387095885549,,1
4096,0.0,U64,0,64,4096,0.0,beyin MR (Cheng),D,0.8787699531228997,,1
4096,0.25,F32_G55,32,55,4052,0.2527147087857848,akciğer grafisi (COVID-QU-Ex),C,0.9331604101578534,,1
4096,0.25,F32_G55,32,55,4052,0.2527147087857848,akciğer grafisi (COVID-QU-Ex),D,0.9163029301081104,,1
4096,0.25,F32_G55,32,55,4052,0.2527147087857848,beyin MR (Cheng),C,0.9381964838727638,,1
4096,0.25,F32_G55,32,55,4052,0.2527147087857848,beyin MR (Cheng),D,0.9482711140813662,,1
4096,0.5,F45_G45,45,45,4053,0.4996299037749815,akciğer grafisi (COVID-QU-Ex),C,0.9351583518705432,,1
4096,0.5,F45_G45,45,45,4053,0.4996299037749815,akciğer grafisi (COVID-QU-Ex),D,0.9189965343212828,,1
