veri,model,temsil,n,maks_mutlak_logit_hatasi,ort_mutlak_logit_hatasi,argmax_uyumu,auc_sifresiz,auc_sifreli,auc_farki,sure_s
beyin MR (Cheng),D,F32_G16,120,2.8697074730743566e-05,8.907867929503466e-06,1.0,0.9304166666666666,0.9304166666666666,0.0,144.3049028000096
beyin MR (Cheng),D2,F32_G16,120,8.23435032835107e-05,1.2156420433794774e-05,1.0,0.9208333333333334,0.9208333333333334,0.0,153.52734039991628
beyin MR (Cheng),C,F32_G16,120,0.0001405612062566064,3.447091839920375e-05,1.0,0.9441666666666665,0.9441666666666665,0.0,56.399195500067435
beyin MR (Cheng),D,F64_G32,120,3.878273163060442e-05,1.0824069551586148e-05,1.0,0.9381249999999999,0.9381249999999999,0.0,164.77487650001422
beyin MR (Cheng),D2,F64_G32,120,0.00010238961671404923,1.3601695857409423e-05,1.0,0.9319791666666667,0.9319791666666667,0.0,175.67194669996388
beyin MR (Cheng),C,F64_G32,120,0.00013005518470698973,3.726352586145824e-05,1.0,0.9346875,0.9346875,0.0,65.1086854999885
beyin MR (Cheng),D,U64,120,7.227146191368661e-05,7.738867695261761e-06,1.0,0.9162499999999999,0.9162499999999999,0.0,152.5458796999883
beyin MR (Cheng),D2,U64,120,7.486971948011956e-05,1.050649720557407e-05,1.0,0.8910416666666666,0.8910416666666666,0.0,164.4478374000173
beyin MR (Cheng),C,U64,120,7.25118908873057e-05,2.1625958173386985e-05,1.0,0.8738541666666667,0.8738541666666667,0.0,37.922721400042064
akciğer grafisi (COVID-QU-Ex),D,F32_G16,120,3.8740496268729885e-05,6.665828702437062e-06,1.0,0.8991666666666668,0.8991666666666668,0.0,142.52451340004336
akciğer grafisi (COVID-QU-Ex),D2,F32_G16,120,0.00015904432249413958,2.8347805356020277e-05,1.0,0.9454166666666666,0.9454166666666666,0.0,151.8915637000464
akciğer grafisi (COVID-QU-Ex),C,F32_G16,120,6.682200497909463e-05,2.4718131268906094e-05,1.0,0.9196875000000001,0.9196875000000001,0.0,56.03775899996981
akciğer grafisi (COVID-QU-Ex),D,F64_G32,120,3.7808953029738745e-05,7.757030789410469e-06,1.0,0.9187500000000001,0.9187500000000001,0.0,164.40347609994933
akciğer grafisi (COVID-QU-Ex),D2,F64_G32,120,0.00014349257408241556,2.139027863837359e-05,1.0,0.9545833333333333,0.9545833333333333,0.0,174.06451349996496
akciğer grafisi (COVID-QU-Ex),C,F64_G32,120,7.207252452268165e-05,2.581140397663319e-05,1.0,0.9517708333333333,0.9517708333333333,0.0,65.27609639998991
akciğer grafisi (COVID-QU-Ex),D,U64,120,3.822536170527968e-05,7.323007676130038e-06,1.0,0.8792708333333333,0.8792708333333333,0.0,152.7324735999573
akciğer grafisi (COVID-QU-Ex),D2,U64,120,0.00010152309121469472,1.689452641097495e-05,1.0,0.9231250000000001,0.9231250000000001,0.0,162.35071759996936
akciğer grafisi (COVID-QU-Ex),C,U64,120,7.709114404264028e-05,1.733780646897723e-05,1.0,0.9061458333333333,0.9061458333333333,0.0,35.39609049994033
