yontem,temsil,model,tohum,sifreli_deger,auc_ic,auc_kaggle,ci95_alt,ci95_ust,n,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19,fark
tam görüntü (Π_ROI doğruluğu),U256,D,0,65536,0.9011385673765754,0.923795403926524,0.9103113737909289,0.935830472926034,1767,0.9432228379683767,0.9400108932461875,0.9284132014469093,-0.022656836549948656
tam görüntü (Π_ROI doğruluğu),U256,D2,0,65536,0.9465134163590064,0.9736397461702374,0.9665196262119266,0.9796109272412937,1767,0.9708500686359245,0.9971241830065359,0.9861167130830052,-0.027126329811230976
tam görüntü (Π_ROI doğruluğu),U256,C,0,65536,0.933664461419322,0.9396231926173167,0.9280399628605839,0.9505947200647956,1767,0.9530021861813005,0.9776143790849674,0.9364256218188803,-0.005958731197994727
eş örnekli küçültme,U64,D,0,4096,0.8676045411397438,0.9082562894371874,0.894318004702448,0.9211769944174387,1767,0.9400935482230922,0.9032897603485839,0.9175133647043759,-0.04065174829744356
eş örnekli küçültme,U64,D2,0,4096,0.9367911072446748,0.969004659372108,0.9614199319704394,0.9751776650718812,1767,0.9734277289135187,0.991045751633987,0.9755593969077115,-0.032213552127433154
eş örnekli küçültme,U64,C,0,4096,0.9164363735989756,0.9412528079638043,0.9313634002823895,0.9510565022764809,1767,0.9652727642483095,0.9763071895424836,0.9341496206664746,-0.02481643436482872
FoveaHE,F32_G16,D,0,1283,0.9152236290768516,0.9580628957968992,0.9486797880385935,0.9655530720516368,1767,0.9701865880319283,0.9773856209150327,0.9629117449342168,-0.042839266720047564
FoveaHE,F32_G16,D2,0,1283,0.9517030926236104,0.9753206050781328,0.9678222621234621,0.9812922921369129,1767,0.9758655752707306,0.9984858387799563,0.9861583277313615,-0.02361751245452237
FoveaHE,F32_G16,C,0,1280,0.9267253831653882,0.9632478704331154,0.9546168241086257,0.9703967516872668,1767,0.9686105038385276,0.9837363834422658,0.9708217292486955,-0.03652248726772722
FoveaHE,F64_G32,D,0,5123,0.9152757215709708,0.9433540798440955,0.9326205852028522,0.9524567575639008,1767,0.9703060653820733,0.9670915032679739,0.9352764172988892,-0.02807835827312466
FoveaHE,F64_G32,D2,0,5123,0.9503513818887764,0.9757802107055261,0.9689977817936808,0.9811559991863333,1767,0.9737200671106818,0.9972113289760348,0.9891865936809756,-0.025428828816749682
FoveaHE,F64_G32,C,0,5120,0.9360397063515716,0.9609694420290786,0.953297113878667,0.9687289261301243,1767,0.9712847628247496,0.9907734204793028,0.9620122283043631,-0.024929735677507003
"şifreli özet (ImageNet ResNet-18, 512)",-,D,0,512,0.9674173686667022,0.9728804620288267,0.9670170186288372,0.9785633615969297,1767,0.978102597996848,0.9963071895424837,0.9779442363712026,-0.0054630933621244715
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,0,512,0.9811719900771574,0.9816653544526498,0.9760871345490455,0.986831435891079,1767,0.9853525852864915,0.9890196078431374,0.9856877620922565,-0.0004933643754924111
tam görüntü (Π_ROI doğruluğu),U256,D,1,65536,0.8929077416210753,0.9201038310299946,0.9064262240955975,0.9317770773310584,1767,0.9479841374752148,0.9239433551198257,0.9296424341368162,-0.027196089408919266
tam görüntü (Π_ROI doğruluğu),U256,D2,1,65536,0.9469932327934204,0.9759566232550334,0.9701572266656759,0.9814124094710553,1767,0.9747394376938329,0.9908605664488017,0.9876564550721855,-0.028963390461613003
tam görüntü (Π_ROI doğruluğu),U256,C,1,65536,0.9146035607305356,0.9444653408702329,0.9331493365190706,0.9537774914780636,1767,0.9607936346535156,0.9739760348583877,0.9500848298601108,-0.029861780139697314
eş örnekli küçültme,U64,D,1,4096,0.8661962393420168,0.8741188046745468,0.8581983751157357,0.8889336336663114,1767,0.9415857440642634,0.8645642701525054,0.8566471397932072,-0.007922565332529996
eş örnekli küçültme,U64,D2,1,4096,0.9390274796780697,0.9696942218496055,0.9630943160329309,0.975723509971911,1767,0.9709898825563069,0.991525054466231,0.9817855885271616,-0.030666742171535866
eş örnekli küçültme,U64,C,1,4096,0.9112373862078856,0.9487583052091795,0.9395392598665998,0.9574884662616195,1767,0.9594285423763284,0.9821350762527234,0.9566183296520375,-0.03752091900129384
FoveaHE,F32_G16,D,1,1283,0.9165719728518944,0.9512089975598893,0.9413013641834791,0.959497947426602,1767,0.9675301235446642,0.9774074074074075,0.9511636095905758,-0.0346370247079949
FoveaHE,F32_G16,D2,1,1283,0.95633861352457,0.9775260604609204,0.9710485226826818,0.9830642900022959,1767,0.9804260511464742,0.9974618736383443,0.9848394634911489,-0.02118744693635044
FoveaHE,F32_G16,C,1,1280,0.9328401662976984,0.9601796546978522,0.9521998054804094,0.9672189784103817,1767,0.9624891961970613,0.9908605664488018,0.9691315343000736,-0.027339488400153766
FoveaHE,F64_G32,D,1,5123,0.913103873635834,0.94021875671377,0.9289939152067416,0.9501993673466645,1767,0.966637856525497,0.9649564270152506,0.9312173885207594,-0.02711488307793597
FoveaHE,F64_G32,D2,1,5123,0.9527217865912476,0.9746123200072808,0.9676646240362881,0.980175109569216,1767,0.9771010219126544,0.9973747276688453,0.9817791862735681,-0.021890533416033198
FoveaHE,F64_G32,C,1,5120,0.933963906754756,0.9628454044194381,0.9547832905036617,0.9701057636303236,1767,0.9726295185316997,0.9930174291938999,0.9626556547904862,-0.028881497664682065
"şifreli özet (ImageNet ResNet-18, 512)",-,D,1,512,0.969315421093776,0.9706513751024225,0.964611655623835,0.9764548556681193,1767,0.9794727744165946,0.9964596949891067,0.9730881270207113,-0.0013359540086465005
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,1,512,0.982051102039879,0.9863679904621924,0.9816758643123152,0.9908683167568537,1767,0.9863490772281255,0.9945098039215687,0.9906879221485964,-0.00431688842231337
tam görüntü (Π_ROI doğruluğu),U256,D,2,65536,0.8856040786743677,0.9101083980838829,0.8964094966885011,0.9232287092526784,1767,0.9373303167420814,0.8908169934640523,0.9349723102532091,-0.02450431940951514
tam görüntü (Π_ROI doğruluğu),U256,D2,2,65536,0.9442046309985982,0.9720615066927568,0.9640556324112297,0.9786824786758009,1767,0.973331130204891,0.9910784313725489,0.9822913665610296,-0.027856875694158623
tam görüntü (Π_ROI doğruluğu),U256,C,2,65536,0.9336206387387196,0.9513321779796621,0.9419138984943329,0.9604344231831673,1767,0.9577151863338247,0.986644880174292,0.9609302474471015,-0.017711539240942487
eş örnekli küçültme,U64,D,2,4096,0.862855501699828,0.8961070716431466,0.8805076985650531,0.9108107476600944,1767,0.9478011083430778,0.8904684095860567,0.8972854444764558,-0.03325156994331857
eş örnekli küçültme,U64,D2,2,4096,0.9349933362052304,0.9748590996193894,0.9679577727867963,0.9806323031299622,1767,0.974177639941024,0.9868736383442266,0.9866673068920262,-0.03986576341415904
eş örnekli küçültme,U64,C,2,4096,0.9201295488317922,0.9418138800703341,0.9307845577399222,0.9521638021208124,1767,0.9501296456352636,0.9780936819172114,0.9491757098498671,-0.021684331238541854
FoveaHE,F32_G16,D,2,1283,0.9165578717475787,0.9574024532045282,0.9476912056818736,0.965211065991754,1767,0.9707941430677716,0.9761546840958606,0.9619193956272608,-0.04084458145694947
FoveaHE,F32_G16,D2,2,1283,0.9545313775053978,0.978266790983898,0.9722228229158905,0.983491046391343,1767,0.9769179927805176,0.998442265795207,0.9899356573513878,-0.023735413478500167
FoveaHE,F32_G16,C,2,1280,0.9305305000599494,0.9567980478586374,0.9479962737598235,0.9641148294553252,1767,0.9584803497890081,0.989041394335512,0.9696949326162809,-0.026267547798688007
FoveaHE,F64_G32,D,2,5123,0.9135358605450044,0.9503309337442299,0.940321996869486,0.95903346836671,1767,0.9675682546138594,0.9647712418300655,0.9532155318672173,-0.03679507319922559
FoveaHE,F64_G32,D2,2,5123,0.9506479364282489,0.9836109362146567,0.9779645062796022,0.9878785295521996,1767,0.9825359703086074,0.998562091503268,0.9926630173821186,-0.03296299978640782
FoveaHE,F64_G32,C,2,5120,0.9349821338014062,0.9621833891067464,0.9545949150986672,0.9683853220843545,1767,0.9610147948548479,0.995686274509804,0.9778514036941004,-0.027201255305340233
"şifreli özet (ImageNet ResNet-18, 512)",-,D,2,512,0.9689833045949608,0.9733993860219553,0.9677001133605824,0.9789191064184283,1767,0.9802277695866592,0.9954901960784314,0.9769710938250264,-0.004416081426994456
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,2,512,0.9823987164281532,0.9843619635580687,0.9792536498808864,0.9887982139775279,1767,0.9853042859321776,0.9931481481481482,0.9895579243893851,-0.0019632471299154686
tam görüntü (Π_ROI doğruluğu),U256,D,3,65536,0.8988143138370784,0.8962088909106166,0.8821151301268165,0.9104993150313234,1767,0.9459911535919466,0.8869498910675381,0.8962866929159063,0.00260542292646182
tam görüntü (Π_ROI doğruluğu),U256,D2,3,65536,0.9469728223535469,0.971330575796876,0.96364458799924,0.9778253291712681,1767,0.967547918043622,0.9917320261437907,0.9826755017766254,-0.024357753443329133
tam görüntü (Π_ROI doğruluğu),U256,C,3,65536,0.926314459789601,0.9489052583681286,0.9394521938004055,0.9576621492412969,1767,0.9509456505160404,0.9836819172113289,0.9627164761996223,-0.022590798578527527
eş örnekli küçültme,U64,D,3,4096,0.8647946323240302,0.8702744979289329,0.8544894732730537,0.8863023737846716,1767,0.9466648024810616,0.8818300653594772,0.8369089919651718,-0.005479865604902656
eş örnekli küçültme,U64,D2,3,4096,0.9389732209192916,0.9728351637738886,0.9660336610081733,0.9782512302967825,1767,0.9724566576846816,0.9949128540305011,0.9844905406703159,-0.03386194285459698
eş örnekli küçültme,U64,C,3,4096,0.9190537669587584,0.9385403569061426,0.9264272908638813,0.9481833437728153,1767,0.9634856881386954,0.9666884531590414,0.9309901085181984,-0.01948658994738417
FoveaHE,F32_G16,D,3,1283,0.9132883472687844,0.9409474704788434,0.929618116394817,0.9497097837459161,1767,0.9664624536071993,0.9574509803921569,0.9387528410000321,-0.027659123210059033
FoveaHE,F32_G16,D2,3,1283,0.9543011334641364,0.9781644265130898,0.9715302089229485,0.9829447963287795,1767,0.9790253698713711,0.99880174291939,0.9894234770639265,-0.023863293048953405
FoveaHE,F32_G16,C,3,1280,0.9301713343007706,0.9621294243062377,0.9535181892902833,0.9692088108691559,1767,0.9653973257410138,0.9887799564270153,0.9700054419155543,-0.03195809000546712
FoveaHE,F64_G32,D,3,5123,0.9166588421422226,0.9504737633187902,0.9401066219827758,0.9587985266602375,1767,0.9684401850627892,0.9738126361655773,0.9508018822625564,-0.03381492117656759
FoveaHE,F64_G32,D2,3,5123,0.9528345214091098,0.9806313330004041,0.974246978178761,0.9857026879849075,1767,0.9827037470130662,0.9994444444444445,0.986763340695925,-0.027796811591294213
FoveaHE,F64_G32,C,3,5120,0.9369476261237604,0.9582530048648463,0.9498506473660011,0.9654652130352078,1767,0.9628654227464539,0.9876361655773421,0.9649220525625021,-0.021305378741085956
"şifreli özet (ImageNet ResNet-18, 512)",-,D,3,512,0.9678844253770168,0.9677022977871684,0.9610306724919038,0.973975080663946,1767,0.9770857694849763,0.9938997821350763,0.9689906847210218,0.00018212758984836874
