yontem,temsil,model,tohum,sifreli_deger,auc_ic,auc_kaggle,ci95_alt,ci95_ust,n,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19,fark
tam görüntü (Π_ROI doğruluğu),U256,D,0,65536,0.9011385673765754,0.9290625,0.881132919993324,0.958939333092939,120,0.9581249999999999,0.953125,0.92625,-0.02792393262342463
tam görüntü (Π_ROI doğruluğu),U256,D2,0,65536,0.9465134163590064,0.9874999999999999,0.9752089327459404,0.9966956747779283,120,0.9881249999999999,1.0,0.99,-0.0409865836409935
tam görüntü (Π_ROI doğruluğu),U256,C,0,65536,0.933664461419322,0.9325,0.8947424912665353,0.9666361056020474,120,0.9581249999999999,0.96875,0.908125,0.001164461419322027
eş örnekli küçültme,U64,D,0,4096,0.8676045411397438,0.899375,0.8492766684049251,0.9406826798710797,120,0.9612499999999999,0.9068750000000001,0.9225000000000001,-0.0317704588602562
eş örnekli küçültme,U64,D2,0,4096,0.9367911072446748,0.9789583333333334,0.9630229135113471,0.9906874712926719,120,0.98,0.995,0.99,-0.04216722608865853
eş örnekli küçültme,U64,C,0,4096,0.9164363735989756,0.9605208333333333,0.9304235073033236,0.9854101417366777,120,0.981875,0.9981249999999999,0.9475,-0.044084459734357706
FoveaHE,F32_G16,D,0,1283,0.9152236290768516,0.9697916666666666,0.9425830804787516,0.9883412032955963,120,0.988125,0.98375,0.98,-0.05456803758981499
FoveaHE,F32_G16,D2,0,1283,0.9517030926236104,0.9919791666666667,0.9819296013334317,0.9996871363179479,120,0.9875,1.0,0.999375,-0.04027607404305633
FoveaHE,F32_G16,C,0,1280,0.9267253831653882,0.9741666666666666,0.9552541066279678,0.990145669026371,120,0.9824999999999999,0.9962500000000001,0.9918750000000001,-0.04744128350127841
FoveaHE,F64_G32,D,0,5123,0.9152757215709708,0.9571874999999999,0.9253804695663139,0.9801582207060184,120,0.988125,0.970625,0.9637500000000001,-0.041911778429029045
FoveaHE,F64_G32,D2,0,5123,0.9503513818887764,0.9939583333333334,0.9858792814551881,0.9996070195173955,120,0.99,0.999375,1.0,-0.04360695144455695
FoveaHE,F64_G32,C,0,5120,0.9360397063515716,0.976875,0.9473352750188481,0.9942341662272467,120,0.9875,0.9987499999999999,0.97375,-0.04083529364842842
"şifreli özet (ImageNet ResNet-18, 512)",-,D,0,512,0.9674173686667022,0.9686458333333334,0.9459624355346888,0.9896163667257597,120,0.9974999999999999,0.99625,0.9574999999999999,-0.0012284646666311794
"şifreli özet (ImageNet ResNet-18, 512)",-,D2,0,512,0.9811719900771574,0.9846875,0.9673639859216414,0.9974482926284672,120,0.99625,1.0,0.979375,-0.0035155099228426634
