veri,aile,yontem,model,temsil,sifreli_deger,ciphertext,tekrar,istemci_on_isleme_s,sifreleme_s,sunucu_s,cozme_s,toplam_s,toplam_std,uctan_uca_s,yukleme_MB,indirme_MB,hiz_kazanci_tam,hiz_kazanci_gizlilik_sartli_piroi
beyin MR (Cheng),D,tam şifreleme,D,512 px,262144,32,3,0.00742879998870194,0.3566128333332017,44.09574779996183,0.004973566664072375,44.4573341999591,0.4921470626449345,44.4647629999478,27.38351,,1.0,1.0
beyin MR (Cheng),C,tam şifreleme,C,512 px,262144,32,3,0.00742879998870194,0.3947000333573669,9.763761933349693,0.0018696333281695843,10.16033160003523,0.15405818223178164,10.167760400023932,27.386481,0.786873,1.0,
beyin MR (Cheng),D,FoveaHE-D,D,F32_G16,1283,1,3,0.010314349958207458,0.010126933377857009,1.1984865000316252,0.004904433386400342,1.2135178667958826,0.04921518577268166,1.22383221675409,0.856147,1.379042,36.635088296921595,36.635088296921595
beyin MR (Cheng),D,FoveaHE-D (PiROI.run),D,F32_G16,1283,1,3,0.010314349958207458,0.010356700009045502,1.1852583666332066,0.004701366686883072,1.2003164333291352,0.042732369582843446,1.2106307832873426,0.855318,,37.03801178215527,37.03801178215527
beyin MR (Cheng),D,FoveaHE-D2,D2,F32_G16,1283,1,3,0.00929710001219064,0.009826166671700776,1.2671447000078235,0.00203513326899459,1.279005999948519,0.025308150651135758,1.2883030999607097,0.856206,0.786873,34.75928510245342,34.75928510245342
beyin MR (Cheng),C,FoveaHE-C,C,F32_G16,1280,2,3,0.009666249970905483,0.01949010001650701,0.4552466000119845,0.0018976999757190545,0.4766344000042106,0.01568365539059407,0.4863006499751161,1.711681,0.786873,21.316823963913375,
beyin MR (Cheng),D,FoveaHE-D,D,F64_G32,5123,1,3,0.009216800041031092,0.010440100023212532,1.3820972333584602,0.004833166642735402,1.397370500024408,0.048276723315504345,1.4065873000654392,0.855889,1.38002,31.81499409010177,31.81499409010177
beyin MR (Cheng),D,FoveaHE-D (PiROI.run),D,F64_G32,5123,1,3,0.009216800041031092,0.010521133313886821,1.3680472333605092,0.005200633352311949,1.3837690000267078,0.03521699989581887,1.3929858000677389,0.855555,,32.12771365675994,32.12771365675994
beyin MR (Cheng),D,FoveaHE-D2,D2,F64_G32,5123,1,3,0.012359349988400936,0.012016299995593727,1.5188848666924362,0.002122333312096695,1.5330235000001267,0.05446257990962871,1.5453828499885276,0.855557,0.786873,28.999773454193903,28.999773454193903
beyin MR (Cheng),C,FoveaHE-C,C,F64_G32,5120,2,3,0.010247700032778084,0.02243523334618658,0.5523433333728462,0.0020217999893551073,0.576800366708388,0.03575247758503313,0.587048066741166,1.711147,0.786873,17.614988107613275,
beyin MR (Cheng),D,FoveaHE-D,D,U64,4096,1,3,0.010466299951076508,0.010440033317233125,1.3186941333503153,0.004701033351011574,1.3338352000185598,0.06438365982546164,1.3443014999696363,0.856062,1.379716,33.33045506621844,33.33045506621844
beyin MR (Cheng),D,FoveaHE-D (PiROI.run),D,U64,4096,1,3,0.010466299951076508,0.009716700025213262,1.3194521999685094,0.005112666675510506,1.3342815666692331,0.08663220442123876,1.3447478666203097,0.856183,,33.3193047933188,33.3193047933188
beyin MR (Cheng),D,FoveaHE-D2,D2,U64,4096,1,3,0.011560750019270927,0.01150860001022617,1.447524966710868,0.0019821333310877285,1.461015700052182,0.04024801091620559,1.4725764500714529,0.855837,0.786873,30.42905986456631,30.42905986456631
beyin MR (Cheng),C,FoveaHE-C,C,U64,4096,1,3,0.009443550021387637,0.011609600003187856,0.30940373335033655,0.0019596333149820566,0.32297296666850644,0.030384762807227447,0.3324165166898941,0.856231,0.786873,31.45876791125868,
akciğer grafisi (COVID-QU-Ex),D,tam şifreleme,D,256 px,65536,8,3,0.004418700002133846,0.0857567333150655,10.267380199977197,0.004792166718592246,10.357929100010855,0.06601906274905105,10.362347800012989,6.84626,,1.0,0.9947807327624043
akciğer grafisi (COVID-QU-Ex),D,Π_ROI %98 şifreli (gizlilik şartlı),D,256 px,64009,8,3,0.004418700002133846,0.08028140000533313,10.21910969998377,0.004477200020725529,10.30386830000983,0.013285428784218897,10.308287000011964,6.845982,,1.0052466509108016,1.0
akciğer grafisi (COVID-QU-Ex),C,tam şifreleme,C,256 px,65536,8,3,0.004418700002133846,0.09850573334066819,2.4067910333396867,0.0018289000339185197,2.5071256667142734,0.03854172424155522,2.5115443667164072,6.846887,0.786873,1.0,
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D,D,F32_G16,1283,1,3,0.00657004996901378,0.010087799979373813,1.1745459000036742,0.004827833307596545,1.1894615332906444,0.004006180264621746,1.1960315832596582,0.856099,1.38059,8.708082447488362,8.662632638067905
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D (PiROI.run),D,F32_G16,1283,1,3,0.00657004996901378,0.01001796661876142,1.1654513333536063,0.004602933302521706,1.1800722332748894,0.03793514887701902,1.1866422832439032,0.856076,,8.777368713494718,8.731557280536078
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D2,D2,F32_G16,1283,1,3,0.004306899907533079,0.012657966658783456,1.284295400022529,0.002026866616991659,1.2989802332983043,0.043959188211893666,1.3032871332058373,0.856053,0.786873,7.973892777190713,7.9322748998626205
akciğer grafisi (COVID-QU-Ex),C,FoveaHE-C,C,F32_G16,1280,2,3,0.004800699942279607,0.01908703330749025,0.4523353667076056,0.001984533310557405,0.47340693332565326,0.01436491423336025,0.47820763326793286,1.712247,0.786873,5.295920887980826,
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D,D,F64_G32,5123,1,3,0.004474799963645637,0.010706999998850128,1.419776733382605,0.004963833373039961,1.435447566754495,0.07412065127507209,1.4399223667181407,0.856178,1.380846,7.215818494457328,7.17815720939677
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D (PiROI.run),D,F64_G32,5123,1,3,0.004474799963645637,0.010343599986905852,1.3494704333133996,0.004725933346586923,1.3645399666468923,0.01276285090425161,1.369014766610538,0.856016,,7.590784699010007,7.551166365122822
akciğer grafisi (COVID-QU-Ex),D,FoveaHE-D2,D2,F64_G32,5123,1,3,0.004477199981920421,0.010925200030518075,1.4749976667032267,0.002306266649005314,1.48822913338275,0.031999497257722206,1.4927063333646704,0.856198,0.786873,6.9599021196872055,6.92357653057705
akciğer grafisi (COVID-QU-Ex),C,FoveaHE-C,C,F64_G32,5120,2,3,0.004517299879807979,0.023032300019015867,0.5422846000098313,0.001955533322567741,0.5672724333514149,0.02839839038829578,0.5717897332312228,1.711865,0.786873,4.419614843440057,
