veri,yontem,model,temsil,sifreli_deger,ciphertext,sifreli_slot,tekrar,istemci_on_isleme_s,sifreleme_s,sunucu_s,cozme_s,toplam_s,uctan_uca_s,yukleme_MB,indirme_MB
beyin MR (Cheng),tam şifreleme,D,512 px,262144,32,262144,0,0.00742879998870194,0.3749023999553174,44.357684499933384,0.004986800020560622,44.73757369990926,44.745002499897964,27.381797,
beyin MR (Cheng),tam şifreleme,D,512 px,262144,32,262144,1,0.00742879998870194,0.3454121000831947,44.3947953999741,0.0051518999971449375,44.74535940005444,44.75278820004314,27.379981,
beyin MR (Cheng),tam şifreleme,D,512 px,262144,32,262144,2,0.00742879998870194,0.34952399996109307,43.534763499978,0.004781999974511564,43.8890694999136,43.896498299902305,27.38351,
beyin MR (Cheng),tam şifreleme,C,512 px,262144,32,262144,0,0.00742879998870194,0.39664529997389764,9.93963299994357,0.0017331000417470932,10.338011399959214,10.345440199947916,27.381625,0.786873
beyin MR (Cheng),tam şifreleme,C,512 px,262144,32,262144,1,0.00742879998870194,0.39431390003301203,9.667704400024377,0.0019673999631777406,10.063985700020567,10.071414500009269,27.380531,0.786873
beyin MR (Cheng),tam şifreleme,C,512 px,262144,32,262144,2,0.00742879998870194,0.3931409000651911,9.683948400081135,0.001908399979583919,10.07899770012591,10.086426500114612,27.386481,0.786873
beyin MR (Cheng),FoveaHE-D,D,F32_G16,1283,1,2048,0,0.010314349958207458,0.010802800068631768,1.2541661000577733,0.00442870007827878,1.2693976002046838,1.2797119501628913,0.855522,1.376565
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,0,0.010314349958207458,0.009319399949163198,1.1690251999534667,0.00463750003837049,1.1829820999410003,1.1932964498992078,0.855318,
beyin MR (Cheng),FoveaHE-D,D,F32_G16,1283,1,2048,1,0.010314349958207458,0.010392800089903176,1.1616777000017464,0.004550600075162947,1.1766211001668125,1.18693545012502,0.856147,1.378556
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,1,0.010314349958207458,0.009250500006601214,1.1552252999972552,0.004499100032262504,1.168974900036119,1.1792892499943264,0.855271,
beyin MR (Cheng),FoveaHE-D,D,F32_G16,1283,1,2048,2,0.010314349958207458,0.009185199975036085,1.179615700035356,0.005734000005759299,1.1945349000161514,1.2048492499743588,0.855384,1.379042
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F32_G16,1283,1,2048,2,0.010314349958207458,0.012500200071372092,1.231524599948898,0.004967499990016222,1.2489923000102863,1.2593066499684937,0.8548,
beyin MR (Cheng),FoveaHE-D2,D2,F32_G16,1283,1,2048,0,0.00929710001219064,0.010363099980168045,1.2632149999262765,0.0019318999256938696,1.2755099998321384,1.284807099844329,0.856206,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,F32_G16,1283,1,2048,1,0.00929710001219064,0.009632700006477535,1.2441318000201136,0.0018630999838933349,1.2556276000104845,1.264924700022675,0.855365,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,F32_G16,1283,1,2048,2,0.00929710001219064,0.009482700028456748,1.2940873000770807,0.0023103998973965645,1.305880400002934,1.3151775000151247,0.856085,0.786873
beyin MR (Cheng),FoveaHE-C,C,F32_G16,1280,2,1280,0,0.009666249970905483,0.020566800027154386,0.47173009999096394,0.0018721999367699027,0.4941690999548882,0.5038353499257937,1.711681,0.786873
beyin MR (Cheng),FoveaHE-C,C,F32_G16,1280,2,1280,1,0.009666249970905483,0.018880599993281066,0.4509232999989763,0.0019845999777317047,0.47178849996998906,0.48145474994089454,1.71052,0.786873
beyin MR (Cheng),FoveaHE-C,C,F32_G16,1280,2,1280,2,0.009666249970905483,0.019022900029085577,0.4430864000460133,0.0018363000126555562,0.46394560008775443,0.4736118500586599,1.710442,0.786873
beyin MR (Cheng),FoveaHE-D,D,F64_G32,5123,1,8192,0,0.009216800041031092,0.010955600067973137,1.366162999998778,0.004818700021132827,1.381937300087884,1.3911541001289152,0.855889,1.378968
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,0,0.009216800041031092,0.010185700026340783,1.3467219000449404,0.004806499928236008,1.3617140999995172,1.3709309000405483,0.855218,
beyin MR (Cheng),FoveaHE-D,D,F64_G32,5123,1,8192,1,0.009216800041031092,0.010124400025233626,1.4362247000681236,0.00512769992928952,1.4514768000226468,1.4606936000636779,0.855231,1.38002
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,1,0.009216800041031092,0.011263899970799685,1.3493701999541372,0.004574800026603043,1.36520889995154,1.374425699992571,0.855486,
beyin MR (Cheng),FoveaHE-D,D,F64_G32,5123,1,8192,2,0.009216800041031092,0.010240299976430833,1.3439040000084788,0.004553099977783859,1.3586973999626935,1.3679142000037245,0.855619,1.379666
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,F64_G32,5123,1,8192,2,0.009216800041031092,0.010113799944519997,1.4080496000824496,0.006220600102096796,1.4243840001290664,1.4336008001700975,0.855555,
beyin MR (Cheng),FoveaHE-D2,D2,F64_G32,5123,1,8192,0,0.012359349988400936,0.014689199975691736,1.5786885999841616,0.0019827999640256166,1.595360599923879,1.6077199499122798,0.85536,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,F64_G32,5123,1,8192,1,0.012359349988400936,0.010573300067335367,1.4820822000037879,0.002006600028835237,1.4946621000999585,1.5070214500883594,0.855557,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,F64_G32,5123,1,8192,2,0.012359349988400936,0.010786399943754077,1.4958838000893593,0.0023775999434292316,1.5090477999765426,1.5214071499649435,0.855407,0.786873
beyin MR (Cheng),FoveaHE-C,C,F64_G32,5120,2,5120,0,0.010247700032778084,0.022639799979515374,0.5921980000566691,0.002258499967865646,0.6170963000040501,0.6273440000368282,1.711147,0.786873
beyin MR (Cheng),FoveaHE-C,C,F64_G32,5120,2,5120,1,0.010247700032778084,0.02304220001678914,0.5395022999728099,0.0018808000022545457,0.5644252999918535,0.5746730000246316,1.711046,0.786873
beyin MR (Cheng),FoveaHE-C,C,F64_G32,5120,2,5120,2,0.010247700032778084,0.021623700042255223,0.5253297000890598,0.0019260999979451299,0.5488795001292601,0.5591272001620382,1.710925,0.786873
beyin MR (Cheng),FoveaHE-D,D,U64,4096,1,4096,0,0.010466299951076508,0.010790599975734949,1.2901414000662044,0.0050243999576196074,1.305956399999559,1.3164226999506354,0.855513,1.379613
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,0,0.010466299951076508,0.009496900020167232,1.2675476999720559,0.005004000035114586,1.2820486000273377,1.2925148999784142,0.855225,
beyin MR (Cheng),FoveaHE-D,D,U64,4096,1,4096,1,0.010466299951076508,0.01025849999859929,1.3925618999637663,0.004639500053599477,1.407459900015965,1.4179261999670416,0.855402,1.377415
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,1,0.010466299951076508,0.009678600006736815,1.2717288999119774,0.005105999996885657,1.2865134999155998,1.2969797998666763,0.856183,
beyin MR (Cheng),FoveaHE-D,D,U64,4096,1,4096,2,0.010466299951076508,0.010270999977365136,1.2733791000209749,0.0044392000418156385,1.2880893000401556,1.2985555999912322,0.856062,1.379716
beyin MR (Cheng),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,2,0.010466299951076508,0.009974600048735738,1.419080000021495,0.005227999994531274,1.434282600064762,1.4447489000158384,0.856011,
beyin MR (Cheng),FoveaHE-D2,D2,U64,4096,1,4096,0,0.011560750019270927,0.014788200031034648,1.4901271000271663,0.0020682000322267413,1.5069835000904277,1.5185442501096986,0.855344,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,U64,4096,1,4096,1,0.011560750019270927,0.009786300011910498,1.4322058000834659,0.0019661999540403485,1.4439583000494167,1.4555190500686876,0.855837,0.786873
beyin MR (Cheng),FoveaHE-D2,D2,U64,4096,1,4096,2,0.011560750019270927,0.009951299987733364,1.4202420000219718,0.0019120000069960952,1.4321053000167012,1.4436660500359721,0.855579,0.786873
beyin MR (Cheng),FoveaHE-C,C,U64,4096,1,4096,0,0.009443550021387637,0.012849800055846572,0.3351723999949172,0.0018895999528467655,0.34991180000361055,0.3593553500249982,0.85527,0.786873
beyin MR (Cheng),FoveaHE-C,C,U64,4096,1,4096,1,0.009443550021387637,0.011271399911493063,0.27691160002723336,0.0018536999123170972,0.2900366998510435,0.29948024987243116,0.855737,0.786873
beyin MR (Cheng),FoveaHE-C,C,U64,4096,1,4096,2,0.009443550021387637,0.01070760004222393,0.3161272000288591,0.002135600079782307,0.3289704001508653,0.33841395017225295,0.856231,0.786873
akciğer grafisi (COVID-QU-Ex),tam şifreleme,D,256 px,65536,8,65536,0,0.004418700002133846,0.0978720000712201,10.246247499948367,0.004615499987266958,10.348735000006855,10.353153700008988,6.844484,
akciğer grafisi (COVID-QU-Ex),tam şifreleme,D,256 px,65536,8,65536,1,0.004418700002133846,0.08018139994237572,10.212348399916664,0.004459200077690184,10.29698899993673,10.301407699938864,6.84626,
akciğer grafisi (COVID-QU-Ex),tam şifreleme,D,256 px,65536,8,65536,2,0.004418700002133846,0.07921679993160069,10.343544700066559,0.005301800090819597,10.42806330008898,10.432482000091113,6.845352,
akciğer grafisi (COVID-QU-Ex),Π_ROI %98 şifreli (gizlilik şartlı),D,256 px,64009,8,65536,0,0.004418700002133846,0.08161140000447631,10.222185099963099,0.004504600074142218,10.308301100041717,10.312719800043851,6.84463,
akciğer grafisi (COVID-QU-Ex),Π_ROI %98 şifreli (gizlilik şartlı),D,256 px,64009,8,65536,1,0.004418700002133846,0.07907259999774396,10.205431399983354,0.004429199965670705,10.288933199946769,10.293351899948902,6.845982,
