veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s,auc_kat_ort
beyin MR (Cheng),D,U512,tam_orijinal,262144,0,0.8812989381521618,0.8542355274758638,0.9029166719736268,3064,24.6,100/100/10/100/100,0.0001/0.001/0.001/0.0001/0.0001,,1.1608465824153311e-06,115.51544284599072,199.86360949999653,0.8846209333010805
beyin MR (Cheng),D2,U512,tam_orijinal,262144,0,0.881884784629773,0.858953317808642,0.9026817357311796,3064,21.6,1/0.01/1/1/0.0001,0.001/0.001/0.001/0.001/0.001,,2.0896451875529465e-06,6.804977247464155,63.59993000002578,0.8834745887182949
beyin MR (Cheng),C,U512,tam_orijinal,262144,0,0.8414473829264003,0.816514617007193,0.8655170623007795,3064,6.2,10/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,6.730356730599851e-06,34.795478844547354,61.25492910004687,0.8512545488008529
beyin MR (Cheng),D,tam,tam_224,50176,0,0.8757413743947965,0.8459057792220723,0.8990375682586575,3064,9.4,100/100/10/100/10,0.0001/0.0001/0.001/0.0001/0.001,,8.424220929725834e-07,28.69318224929693,45.6807946000481,0.8824018897169473
beyin MR (Cheng),D2,tam,tam_224,50176,0,0.8722842058494732,0.8481649807616143,0.893927030426707,3064,11.8,1/1/0.01/0.0001/0.01,0.001/0.001/0.001/0.001/0.001,,1.9438452136810724e-06,7.795007727053275,15.271189200109802,0.8730971755588444
beyin MR (Cheng),C,tam,tam_224,50176,0,0.8459402323876551,0.8169988760290299,0.8703149070138456,3064,6.2,1/1/1/1/0.01,0.001/0.001/0.001/0.001/0.001,,3.121930266303252e-06,35.150406104445835,13.769718599971384,0.8533282855332922
beyin MR (Cheng),D,U90,es_ornekli,8100,0,0.8805389337720007,0.8544031007039303,0.9026859936786472,3064,5.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.1586872048496843e-06,14.412237004565648,11.309446300030686,0.8823327323323685
beyin MR (Cheng),D2,U90,es_ornekli,8100,0,0.8613562988531797,0.8349640034349431,0.8858075110825886,3064,6.6,1/0.0001/0.01/0.0001/0.0001,0.001/0.001/0.001/0.001/0.001,,1.5922816585245414e-06,7.781996625982845,9.855097100022247,0.8616575629510947
beyin MR (Cheng),C,U90,es_ornekli,8100,0,0.8469868140584899,0.8211303024041254,0.8707498626492485,3064,7.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.069734263976386e-06,40.368626184855344,11.156223200028762,0.8515885908595331
beyin MR (Cheng),D,U64,es_ornekli,4096,0,0.8787699531228997,0.8515736429724812,0.902723889976635,3064,8.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.1675617370698887e-06,13.05370628754865,9.55166180001106,0.8828997370873448
beyin MR (Cheng),D2,U64,es_ornekli,4096,0,0.8650631757608037,0.8385324389405624,0.8887914124682629,3064,4.8,1/0.0001/0.0001/0.0001/0.0001,0.001/0.001/0.001/0.001/0.001,,1.242058474737462e-06,6.648435126987139,9.36236279993318,0.8680823563196338
beyin MR (Cheng),C,U64,es_ornekli,4096,0,0.8486387095885549,0.8227039525630253,0.8722700930870142,3064,5.4,1/1/1/1/0.01,0.001/0.001/0.001/0.001/0.001,,1.403724503745707e-06,39.245565353107736,10.51592909998726,0.8582914888280586
beyin MR (Cheng),D,F64_G32,odakli,5123,0,0.9467693395669596,0.9275057033467908,0.9624247507186744,3064,10.4,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,9.70408875033968e-07,25.93906846428656,12.112381599959916,0.9480179205156196
beyin MR (Cheng),D2,F64_G32,odakli,5123,0,0.90958556589577,0.8880122028474566,0.9282722797033436,3064,17.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.1885955109036672e-06,7.437890795171603,13.235163199948149,0.909946092740148
beyin MR (Cheng),C,F64_G32,odakli,5120,0,0.9223219123175644,0.9025625659795388,0.940085979131747,3064,22.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.417042675340042e-06,68.95687641022651,16.80391680006869,0.9264720064763928
beyin MR (Cheng),D,F64_P32k2_G32,odakli,6147,0,0.9532092071225312,0.9359476291120986,0.9674810080826218,3064,6.6,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.013918297765315e-06,19.19582059018405,12.384524599998258,0.955573276765393
beyin MR (Cheng),D2,F64_P32k2_G32,odakli,6147,0,0.90286566894569,0.8821961879141851,0.9227602392653096,3064,16.6,0.01/1/0.01/1/1,0.001/0.001/0.001/0.001/0.001,,2.230576983119903e-06,8.485010330464094,13.16274230007548,0.9066102898342436
beyin MR (Cheng),C,F64_P32k2_G32,odakli,6144,0,0.8970424299705826,0.871666082579627,0.9203794456665896,3064,6.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.88404067813508e-06,79.94914096201221,16.55617070000153,0.911084333959377
beyin MR (Cheng),D,F32_G16,odakli,1283,0,0.9471540540986618,0.9285239798634266,0.9625220192839372,3064,11.8,10/1/1/10/10,0.001/0.001/0.001/0.001/0.001,,1.919232192726384e-06,14.287146202836675,11.202559500001373,0.9491727826519376
beyin MR (Cheng),D2,F32_G16,odakli,1283,0,0.9168852523548576,0.8963192110595043,0.9345678336940454,3064,20.0,1/0.01/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.931647120478885e-06,7.243442244866583,13.860958000062965,0.9179653650765448
beyin MR (Cheng),C,F32_G16,odakli,1280,0,0.9505079337135964,0.9379330865256372,0.9637516502910874,3064,61.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.994247122245497e-06,41.97367355081498,25.16421959991567,0.9529750467882552
beyin MR (Cheng),D,F64,odakli,4099,0,0.8635296169205965,0.833825227153715,0.8883802431618698,3064,7.6,10/10/10/10/100,0.001/0.001/0.001/0.001/0.0001,,7.345713015638466e-07,14.397050386999856,14.433448900002986,0.8664488257917242
beyin MR (Cheng),D2,F64,odakli,4099,0,0.8500233500646561,0.830693388766339,0.8709306666513648,3064,21.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.760210140311358e-06,7.285078259668783,15.47411439998541,0.852509688496168
beyin MR (Cheng),C,F64,odakli,4096,0,0.8876562584156776,0.8633034373593635,0.909243978352492,3064,29.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.473037908679032e-06,52.40808813563954,17.549923100043088,0.8908494111182632
beyin MR (Cheng),D,sabit,sabit,0,0,0.4707404467159042,0.4068320137118186,0.538896938478539,3064,6.8,0.0001/0.0001/0.0001/1/0.0001,0.001/0.001/0.001/0.001/0.001,,8.657606487272319e-08,0.0,7.610853199963458,0.5
beyin MR (Cheng),D2,sabit,sabit,0,0,0.4815348870358883,0.4215765087443066,0.5515928460071645,3064,5.6,0.01/0.01/0.0001/10/0.0001,0.001/0.001/0.001/0.001/0.001,,3.289285219199023e-08,0.0,8.869829599978402,0.5
akciğer grafisi (COVID-QU-Ex),D,U256,tam_orijinal,65536,0,0.9011385673765754,0.8950476748263092,0.9068036627920112,6788,18.0,0.0001,0.001,,4.91497498211757e-06,88.81988811103362,42.905858600046486,
akciğer grafisi (COVID-QU-Ex),D2,U256,tam_orijinal,65536,0,0.9465134163590064,0.9416759994935614,0.950873830273292,6788,14.0,0.0001,0.001,,3.3209399799005723e-06,9.47418724373228,46.85084959992673,
