veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,aktarim_hatasi,en_buyuk_nokta_carpim,sure_s,wd_secilen
beyin MR (Cheng),D,U512,tam_orijinal,262144,0,0.8620244364361197,0.8027847125341455,0.9133382687460976,542,3.0,0.0001027112527083,345.9415347239946,13.626496199984103,
beyin MR (Cheng),D2,U512,tam_orijinal,262144,0,0.7868873021721371,0.729855602081688,0.8374331039430355,542,3.0,3.977980265856829e-06,5.880656529917496,10.77185689995531,
beyin MR (Cheng),D,U64,es_ornekli,4096,0,0.8719351658809998,0.8156225329738003,0.9223938169991714,542,3.0,8.481520561431921e-07,8.01636640081663,2.078307599993422,
beyin MR (Cheng),D2,U64,es_ornekli,4096,0,0.8809188770359867,0.8259649234764551,0.9260120893549906,542,3.0,1.9187227677797125e-06,5.755349809464661,1.997919599991292,
beyin MR (Cheng),D,F64_G32,odakli,5123,0,0.9130833891277024,0.8512359971042435,0.9626743448108028,542,3.0,1.3001310508187205e-06,13.414145382913617,2.174889500020072,
beyin MR (Cheng),D2,F64_G32,odakli,5123,0,0.862809748206465,0.7975674816061226,0.920087129795116,542,3.0,2.196059531556216e-06,7.16949714224228,2.223805199959316,
beyin MR (Cheng),D,sabit,sabit,0,0,0.5,0.5,0.5,542,3.0,3.9439252308426376e-08,0.0,1.9485216999892143,
beyin MR (Cheng),D2,sabit,sabit,0,0,0.499952313358199,0.4960331732905281,0.5041734420314251,542,1.0,4.6775805034871e-08,0.0,2.0446928999153897,
beyin MR (Cheng),D,F64,odakli,4099,0,0.8564778772350753,0.7821552627998526,0.9231753707283248,542,2.0,1.0472429954333506e-06,18.55403579625999,3.2621567000169307,1.0
beyin MR (Cheng),D2,F64,odakli,4099,0,0.7794704034415617,0.697966796902031,0.8518555814793317,542,3.0,1.7781985413023449e-06,7.613737027012017,2.7959427000023425,0.0001
beyin MR (Cheng),D,U90,es_ornekli,8100,0,0.8759691447977227,0.8134364542218817,0.9244471827693532,542,3.0,1.704448246542256e-06,9.106502117820442,3.4595434999791905,1.0
beyin MR (Cheng),D2,U90,es_ornekli,8100,0,0.8776657877754711,0.8243291161757955,0.9256103967948931,542,3.0,1.4101946719247138e-06,8.134937731970835,3.638147999998182,0.01
