veri,yontem,model,sifreli_deger,teshis_auc,teshis_auc_std,tohum_sayisi,saldirgan_auc,sure_s,hiz_kazanci,sizinti_turu,not
beyin MR (Cheng),tam şifreleme,D,262144,0.8810785089913512,0.004384503006481328,5,0.525814814814815,44.4573341999591,1.0,yok,referans: tüm görüntü şifreli
beyin MR (Cheng),Π_ROI (varsayılan ROI),D,262144,0.8810785089913512,0.004384503006481328,5,0.9759160360973613,1.8366038397782174,24.20627314234932,açık pikseller + ROI meta verisi,hız savunma deneyindeki oran; doğruluk tam görüntüyle aynı: seçici şifreleme çıktıyı değiştirmez
beyin MR (Cheng),"Π_ROI (gizlilik şartlı, saldırgan ≤ 0.8)",D,262144,0.8810785089913512,0.004384503006481328,5,0.8,44.4505819011383,1.000151905746382,sınırlı açık piksel,savunma deneyinden (beyinde şart tüm görüntüyü şifrelemeyi gerektiriyor): gizlilik şartı hızı tam şifreleme düzeyine geri çekiyor
beyin MR (Cheng),FoveaHE F32_G16,D,1283,0.9479442328969444,0.0010186798915760768,5,0.525814814814815,1.2135178667958826,36.6350882969216,yok,odaklı temsilin tamamı şifreli
beyin MR (Cheng),FoveaHE F64_G32,D,5123,0.9453905743542869,0.0017199691824317449,5,0.525814814814815,1.397370500024408,31.81499409010177,yok,odaklı temsilin tamamı şifreli
beyin MR (Cheng),şifreli özet (ImageNet ResNet-18),D,512,0.9550728216418942,0.0010323067630481067,5,0.525814814814815,1.0101400333611916,44.01106057744241,yok,istemcide 11.2 M parametreli ağ (24 ms); hız D ailesi referansına göre
beyin MR (Cheng),bozuk bağlam (gauss 0.4),D,262144,0.8810785089913512,0.004384503006481328,5,0.966994190570326,1.8366038397782174,24.20627314234932,gürültülü/bulanık açık bağlam,doğruluk Π_ROI ile aynı varsayıldı; saldırgan en iyi bozulma düzeyinden
akciğer grafisi (COVID-QU-Ex),tam şifreleme,D2,65536,0.9460452880907045,0.0011852257611472492,5,0.5026816666666667,10.357929100010857,1.0,yok,referans: tüm görüntü şifreli
akciğer grafisi (COVID-QU-Ex),Π_ROI (varsayılan ROI),D2,65536,0.9460452880907045,0.0011852257611472492,5,0.9932040235167541,2.688465242384661,3.85272940736381,açık pikseller + ROI meta verisi,hız savunma deneyindeki oran; doğruluk tam görüntüyle aynı: seçici şifreleme çıktıyı değiştirmez
akciğer grafisi (COVID-QU-Ex),"Π_ROI (gizlilik şartlı, saldırgan ≤ 0.8)",D2,65536,0.9460452880907045,0.0011852257611472492,5,0.8,10.30386830000983,1.0052466509108016,sınırlı açık piksel,ölçüldü (Π_ROI %98 şifreli (gizlilik şartlı)): gizlilik şartı hızı tam şifreleme düzeyine geri çekiyor
akciğer grafisi (COVID-QU-Ex),FoveaHE F32_G16,D2,1283,0.9542512988533698,0.0016544123110417135,5,0.5026816666666667,1.2989802332983045,7.973892777190713,yok,odaklı temsilin tamamı şifreli
akciğer grafisi (COVID-QU-Ex),FoveaHE F64_G32,D2,5123,0.9518766187533693,0.0012621417475959951,5,0.5026816666666667,1.48822913338275,6.9599021196872055,yok,odaklı temsilin tamamı şifreli
akciğer grafisi (COVID-QU-Ex),şifreli özet (ImageNet ResNet-18),D2,512,0.9815131500987493,0.0008804718671464437,5,0.5026816666666667,1.0601453332540889,9.770291652576972,yok,istemcide 11.2 M parametreli ağ (21 ms); hız D ailesi referansına göre
akciğer grafisi (COVID-QU-Ex),bozuk bağlam (gauss 0.4),D2,65536,0.9460452880907045,0.0011852257611472492,5,0.9833616686517184,2.688465242384661,3.85272940736381,gürültülü/bulanık açık bağlam,doğruluk Π_ROI ile aynı varsayıldı; saldırgan en iyi bozulma düzeyinden
