veri,yontem,model,tohum,auc,ci95_alt,ci95_ust,n,sifreli_deger,wd_lr,aktarim_hatasi,istemci_on_isleme_s,istemci_on_isleme_tek_cekirdek_s,egitim_s,maks_mutlak_logit_hatasi,argmax_uyumu,auc_farki_eslesme,ciphertext,sifreleme_s,sunucu_s,cozme_s,toplam_s,yukleme_MB,indirme_MB,uctan_uca_s
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D,0,0.9557811737018412,0.9361675972378996,0.9720852654150892,3064,512,10@0.001/1@0.001/1@0.001/10@0.001/1@0.001,1.2874263184414758e-06,0.0234760000021196,0.0546409499947913,13.69714910001494,2.351029723435261e-05,1.0,0.0,1.0,0.0095474333890403,0.9958678333399196,0.0047247666322315,1.0101400333611916,0.855366,1.37887,1.033616033363311
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D2,0,0.9447195984706586,0.9243780119864552,0.962878936531066,3064,512,1@0.001/1@0.001/1@0.001/1@0.001/0.01@0.001,2.505566151889127e-06,0.0234760000021196,0.0546409499947913,17.476550000021234,5.000977600211343e-05,1.0,0.0,1.0,0.0094069000333547,1.0651275333172332,0.0019041333580389,1.076438566708627,0.855286,0.786873,1.0999145667107466
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D,0,0.9674173686667022,0.9643181352933652,0.9702467533502508,6788,512,0.0001@0.001,1.2686025208097362e-06,0.0226141500170342,0.050509350025095,16.23064500000328,3.949690407001327e-05,1.0,0.0,1.0,0.0093001333298161,0.949203966728722,0.0044174000310401,0.9629215000895784,0.855305,1.379427,0.9855356501066126
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D2,0,0.9811719900771574,0.9786887054144098,0.9832198250568044,6788,512,1@0.001,1.394815162925056e-06,0.0226141500170342,0.050509350025095,21.99215480010025,4.354611783474738e-05,1.0,0.0,1.0,0.008970099966973,1.0492922666405018,0.0018829666466141,1.0601453332540889,0.855288,0.786873,1.0827594832711231
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D,1,0.9554378831771452,0.9364912426554772,0.971087508957726,3064,512,10@0.001/1@0.001/1@0.001/10@0.001/1@0.001,1.3238681333405111e-06,0.0248642999795265,0.0581812000018544,12.2822716999799,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D2,1,0.94432227053933,0.9259530361564928,0.961040905628292,3064,512,1@0.001/0.01@0.001/1@0.001/1@0.001/1@0.001,1.971882165996419e-06,0.0248642999795265,0.0581812000018544,16.583172700018622,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D,1,0.969315421093776,0.9662640612476034,0.9719153580584592,6788,512,0.01@0.001,1.1884917503479642e-06,0.0219761499902233,0.0505182500346563,16.826109000016004,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D2,1,0.982051102039879,0.9796789263356008,0.984166285053495,6788,512,1@0.001,2.480158054041226e-06,0.0219761499902233,0.0505182500346563,21.41953779989853,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D,2,0.9557145334324612,0.9365169673187258,0.971795874856124,3064,512,10@0.001/1@0.001/1@0.001/10@0.001/1@0.001,7.770143675145391e-07,0.0226675500161945,0.0533302000258117,13.295118000009095,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D2,2,0.9495383350080918,0.9309605358585248,0.9656439252298356,3064,512,1@0.001/1@0.001/1@0.001/1@0.001/1@0.001,1.0040604223604532e-06,0.0226675500161945,0.0533302000258117,16.872392400051467,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D,2,0.9689833045949608,0.9659805978860296,0.9717685995440436,6788,512,0.01@0.001,1.0546849136261471e-06,0.0196346499724313,0.0519158999668434,20.49047740001697,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D2,2,0.9823987164281532,0.9799955629014354,0.984440609815978,6788,512,1@0.001,9.029864660448084e-07,0.0196346499724313,0.0519158999668434,28.65197080001235,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D,3,0.955149329310438,0.9364244335381572,0.9706028103787556,3064,512,10@0.001/1@0.001/1@0.001/10@0.001/0.0001@0.001,1.4651888431416182e-06,0.0241163999889977,0.0557490999926812,12.29800750000868,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D2,3,0.9494644609412682,0.9320616804350028,0.965048888023299,3064,512,1@0.001/1@0.001/1@0.001/1@0.001/1@0.001,7.027442419094143e-07,0.0241163999889977,0.0557490999926812,17.224250299972482,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D,3,0.9678844253770168,0.9649798314103176,0.9706886921116464,6788,512,0.01@0.001,9.425384313033192e-07,0.0202091999817639,0.0507298000156879,18.27870620007161,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D2,3,0.9817859620586116,0.979348884565713,0.9839170156128256,6788,512,1@0.001,1.2597208884912448e-06,0.0202091999817639,0.0507298000156879,24.5658905999735,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D,4,0.9532811885875861,0.9338066008628714,0.9694579920143179,3064,512,10@0.001/1@0.001/1@0.001/10@0.001/0.0001@0.001,1.590636721005012e-06,0.02483394998125732,0.054330350016243756,10.793408900033683,,,,,,,,,,,
beyin MR (Cheng),"şifreli özet (ImageNet ResNet-18, 512)",D2,4,0.9404881083764298,0.9213432586805052,0.9578572926976581,3064,512,1@0.001/1@0.001/1@0.001/1@0.001/1@0.001,1.254336728706562e-06,0.02483394998125732,0.054330350016243756,14.596337499911897,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D,4,0.9685759340162431,0.9655697430091917,0.9712124813927959,6788,512,0.01@0.001,7.264665615736021e-07,0.02165659994352609,0.0510698999860324,15.52163269999437,,,,,,,,,,,
akciğer grafisi (COVID-QU-Ex),"şifreli özet (ImageNet ResNet-18, 512)",D2,4,0.9801579798899454,0.9776528519374557,0.982317672095248,6788,512,1@0.001,9.227325392657804e-07,0.02165659994352609,0.0510698999860324,22.36456380004529,,,,,,,,,,,
