veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
beyin MR (Cheng),0,0,1,paket,0.009911299915984273,1,8192,855556,1,0.855734,4569,,
beyin MR (Cheng),1,0,1,paket,0.010900599998421967,1,8192,856239,2,1.711468,8630,,
beyin MR (Cheng),2,0,1,paket,0.010093300021253526,1,8192,855271,2,1.711468,10511,,
beyin MR (Cheng),3,0,1,paket,0.010078999912366271,1,8192,856239,2,1.711468,8897,,
beyin MR (Cheng),4,0,1,paket,0.009952899999916553,1,8192,856140,2,1.711468,11250,,
beyin MR (Cheng),5,0,2,paket,0.010355499922297895,1,8192,855333,1,0.855734,2179,,
beyin MR (Cheng),6,0,2,paket,0.011314800009131432,1,8192,854818,1,0.855734,2360,,
beyin MR (Cheng),7,0,2,paket,0.010792100103572011,1,8192,855979,1,0.855734,2245,,
beyin MR (Cheng),8,0,2,paket,0.009921199991367757,1,8192,855336,1,0.855734,3353,,
beyin MR (Cheng),9,0,2,paket,0.010007399949245155,1,8192,855368,1,0.855734,3707,,
beyin MR (Cheng),10,0,2,paket,0.010101799969561398,1,8192,855948,1,0.855734,6121,,
beyin MR (Cheng),11,0,2,paket,0.010237599955871701,1,8192,856118,1,0.855734,7618,,
beyin MR (Cheng),12,0,2,paket,0.01038320001680404,1,8192,855852,1,0.855734,8000,,
beyin MR (Cheng),13,0,2,paket,0.010091900010593235,1,8192,856044,1,0.855734,6729,,
beyin MR (Cheng),14,0,2,paket,0.010632800054736435,1,8192,855285,1,0.855734,4046,,
beyin MR (Cheng),15,0,2,paket,0.009991300059482455,1,8192,856070,1,0.855734,684,,
beyin MR (Cheng),16,0,2,paket,0.009974899934604764,1,8192,855211,1,0.855734,2547,,
beyin MR (Cheng),17,0,2,paket,0.010992900002747774,1,8192,855689,1,0.855734,1937,,
beyin MR (Cheng),18,0,2,paket,0.010122500010766089,1,8192,856061,1,0.855734,1031,,
beyin MR (Cheng),19,0,0,paket,0.010149899986572564,1,8192,855575,1,0.855734,4709,,
beyin MR (Cheng),20,0,0,paket,0.01013419998344034,1,8192,855848,1,0.855734,5802,,
beyin MR (Cheng),21,0,0,paket,0.010933400015346706,1,8192,856025,1,0.855734,6350,,
beyin MR (Cheng),22,0,0,paket,0.010125800035893917,1,8192,855082,1,0.855734,5277,,
beyin MR (Cheng),23,0,0,paket,0.010246500023640692,1,8192,856056,1,0.855734,3028,,
beyin MR (Cheng),24,0,0,paket,0.010033799917437136,1,8192,855295,1,0.855734,3400,,
beyin MR (Cheng),25,0,3,paket,0.012419299921020865,1,8192,854547,1,0.855734,725,,
beyin MR (Cheng),26,0,3,paket,0.011751099955290556,1,8192,856084,1,0.855734,1401,,
beyin MR (Cheng),27,0,4,paket,0.01068260008469224,1,8192,855586,1,0.855734,2117,,
beyin MR (Cheng),28,0,4,paket,0.010172200039960444,1,8192,855224,1,0.855734,3531,,
beyin MR (Cheng),29,0,4,paket,0.010547099984250963,1,8192,855224,1,0.855734,4352,,
beyin MR (Cheng),30,0,4,paket,0.009868299937807024,1,8192,855300,1,0.855734,4454,,
