veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
beyin MR (Cheng),11,0,3,paket,0.026803200016729534,1,8192,855320,1,0.8558745,7618,,
beyin MR (Cheng),28,0,0,paket,0.024355800007469952,1,8192,855470,1,0.8558745,3531,,
beyin MR (Cheng),52,0,1,paket,0.023417699965648353,1,8192,855672,1,0.8558745,4077,,
beyin MR (Cheng),123,0,3,paket,0.022369399899616838,1,8192,856209,1,0.8558745,4341,,
beyin MR (Cheng),187,0,4,paket,0.03545930003747344,1,8192,856021,1,0.8558745,4047,,
beyin MR (Cheng),216,0,4,paket,0.021510799997486174,1,8192,856089,1,0.8558745,3115,,
beyin MR (Cheng),356,0,2,paket,0.020031399908475578,1,8192,855982,1,0.8558745,1710,,
beyin MR (Cheng),386,0,1,paket,0.020242099999450147,1,8192,856054,2,1.711749,9221,,
beyin MR (Cheng),398,0,1,paket,0.02840960002504289,1,8192,855924,1,0.8558745,7097,,
beyin MR (Cheng),428,0,2,paket,0.018504400039091706,1,8192,855869,1,0.8558745,4410,,
beyin MR (Cheng),442,0,4,paket,0.018623300013132393,1,8192,855951,2,1.711749,9450,,
beyin MR (Cheng),448,0,0,paket,0.033951799967326224,1,8192,855446,1,0.8558745,1693,,
beyin MR (Cheng),456,0,3,paket,0.021486000041477382,1,8192,855400,2,1.711749,8936,,
beyin MR (Cheng),516,0,3,paket,0.02778000000398606,1,8192,855149,1,0.8558745,1182,,
beyin MR (Cheng),570,0,0,paket,0.017902000108733773,1,8192,855489,1,0.8558745,1571,,
beyin MR (Cheng),589,0,0,paket,0.02664100006222725,1,8192,856144,1,0.8558745,3891,,
beyin MR (Cheng),641,0,1,paket,0.030600199941545725,1,8192,856030,1,0.8558745,2436,,
beyin MR (Cheng),665,0,2,paket,0.019521999987773597,1,8192,856082,1,0.8558745,4204,,
beyin MR (Cheng),685,0,2,paket,0.031661099987104535,1,8192,855268,1,0.8558745,2536,,
beyin MR (Cheng),703,0,4,paket,0.01914499991107732,1,8192,855642,1,0.8558745,6750,,
beyin MR (Cheng),719,1,2,paket,0.028234400087967515,1,8192,855447,1,0.8558745,6452,,
