veri,oznitelik,auc_dususu,std
beyin MR (Cheng),cen_c,0.10161172174990496,0.006041973402428743
beyin MR (Cheng),bbox_r0,0.02773609097944648,0.006371948643011107
beyin MR (Cheng),extent,0.02253073602342385,0.008274237272272292
beyin MR (Cheng),bbox_c0,0.016106730525498058,0.0034944736972390934
beyin MR (Cheng),bbox_r1,0.015399420763444305,0.0033187547491550008
beyin MR (Cheng),bbox_aspect,0.014636932458491325,0.005179320841061039
beyin MR (Cheng),cen_r,0.014423773259883343,0.004484725057834975
beyin MR (Cheng),eccentricity,0.0069114139141743915,0.0031249203045612033
beyin MR (Cheng),bbox_c1,0.006464554544769241,0.004713636383757878
beyin MR (Cheng),circularity,0.004935720111034469,0.0024752976705974578
beyin MR (Cheng),minor_axis,0.0037247488477050728,0.0016583958241200589
beyin MR (Cheng),major_axis,0.003073311822131175,0.0016873627677343693
beyin MR (Cheng),area_frac,0.0014095224070958645,0.0009989643127925908
beyin MR (Cheng),img_h,0.0,0.0
beyin MR (Cheng),img_w,0.0,0.0
beyin MR (Cheng),img_aspect,0.0,0.0
beyin MR (Cheng),comp1_frac,0.0,0.0
beyin MR (Cheng),comp2_frac,0.0,0.0
beyin MR (Cheng),n_components,0.0,0.0
beyin MR (Cheng),bbox_w,-0.00016382875561428146,0.0021698082266671873
beyin MR (Cheng),perimeter_norm,-0.00020705157320849432,0.0025105742390557186
beyin MR (Cheng),orientation,-0.0006503144417205453,0.0026880745660044546
beyin MR (Cheng),bbox_h,-0.001307514867258508,0.0011924522404331759
