veri,hedef,gorus,tohum,gizli_alan_ort,auc,ci95_alt,ci95_ust,n,sure_s,normalizasyon,auc_kat_ort
beyin MR (Cheng),tümör tipi (3 sınıf),tam,0,0.0,0.9842752456200738,0.9662624218079456,0.994743852845674,3064,241.8793716999935,gorunur,0.9868698077038484
beyin MR (Cheng),tümör tipi (3 sınıf),tam,1,0.0,0.9825064999310849,0.9613696215971036,0.9951571739342788,3064,200.9473056999268,gorunur,0.9846061896038372
beyin MR (Cheng),tümör tipi (3 sınıf),tam,2,0.0,0.9841913679393124,0.9659161923798084,0.9953205415122848,3064,201.0276262999978,gorunur,0.9867017372773076
beyin MR (Cheng),tümör tipi (3 sınıf),tam,3,0.0,0.9849502311858688,0.9662119703517364,0.9956372825544302,3064,200.70240800001196,gorunur,0.9870334721995696
beyin MR (Cheng),tümör tipi (3 sınıf),tam,4,0.0,0.9857789202699502,0.9678714745674892,0.995881143406074,3064,200.52375150006264,gorunur,0.9883973832129728
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,0,0.0169200226664543,0.9759414446636916,0.9529152178352864,0.990976334055923,3064,200.2376205000328,gorunur,0.9789383076970816
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,1,0.0169200226664543,0.9768480470110154,0.956198053192007,0.991388006099275,3064,200.18011820001996,gorunur,0.9792556652589612
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,2,0.0169200226664543,0.976146636490458,0.9563284593977762,0.9904313531258156,3064,200.39900450001005,gorunur,0.978841478883004
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,3,0.0169200226664543,0.9757844190558924,0.9547833173190126,0.9895904991745168,3064,200.24816359998655,gorunur,0.9780924486767372
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,4,0.0169200226664543,0.9748596332657492,0.9525604342453602,0.990207936507359,3064,200.25399130000733,gorunur,0.9771988780937432
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,0,0.2479334771633148,0.9655501580633692,0.9437606952132236,0.9829762292258772,3064,438.4675749000162,gorunur,0.9702569540285816
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,1,0.2479334771633148,0.9667799597296324,0.9487564955312572,0.9827638860637056,3064,438.90173819998745,gorunur,0.9692618359338188
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,2,0.2479334771633148,0.966872184315617,0.9456556503546838,0.9840217205004592,3064,438.776622000034,gorunur,0.9696403673223388
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,3,0.2479334771633148,0.9695845369823004,0.95168043692176,0.9843121770426408,3064,438.6731126999948,gorunur,0.9717981094919338
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis40,4,0.2479334771633148,0.968275508552466,0.9491321041798284,0.9837525608292624,3064,438.6082567999838,gorunur,0.9710340862720171
beyin MR (Cheng),tümör tipi (3 sınıf),yalniz_roi,0,0.9830799698829651,0.9683280003985484,0.9578545985693172,0.9792711727221021,3064,235.32457990001421,gorunur,0.9690850651477294
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis10,0,0.051180094480514526,0.9705405942158968,0.9459722825163276,0.9874716549976827,3064,215.68414360005409,gorunur,0.9738843284401625
beyin MR (Cheng),tümör tipi (3 sınıf),baglam_genis20,0,0.10116633027791977,0.9662607705895067,0.9430634284246318,0.9845793117515378,3064,264.5723561999621,gorunur,0.9701677673553262
beyin MR (Cheng),tümör tipi (3 sınıf),kutu,0,0.024948110803961754,0.973460101185017,0.9511959262850597,0.988265662109596,3064,196.64712040009908,gorunur,0.9762310563997149
