veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,hiz_kazanci_256,hiz_kazanci_512
covidqu,tamamen_gizli,0,1.0,0.5,1.0,0,,23.87206131666608,1.0,1.0
covidqu,goruntu_roi,0,0.234128078944085,0.9895731284478012,0.0,50176,,23.87206131666608,3.85272940736381,4.103113940143876
covidqu,kanonik,0,0.6332115725774327,0.9737116284276576,0.6309590242346939,18517,,23.87206131666608,1.4654074995930142,1.5681387626422272
covidqu,kanonik_genis8,0,0.7953930655547978,0.9569247775519812,0.7950613839285714,10283,,23.87206131666608,1.136181952445706,1.250022010201421
covidqu,kanonik_genis16,0,0.910757827203694,0.9095310041102044,0.9107142857142856,4480,,23.87206131666608,1.0008298091302477,1.0929114872824004
covidqu,kanonik_genis32,0,0.996213414226824,0.6812662548185272,0.9962133290816326,190,,23.87206131666608,1.0000351812218817,1.0036201909181024
covidqu,kanonik_genis64,0,1.0,0.5,1.0,0,,23.87206131666608,1.0,1.0
covidqu,sizinti_gudumlu,1,0.6920667829088396,0.9645524753359236,0.6900310905612245,15553,7 52 44 6,23.87206131666608,1.3224643616314218,1.4355736647420283
covidqu,sizinti_gudumlu,2,0.7435115400273066,0.9459720529110937,0.7416693239795918,12962,0 36 1 59,23.87206131666608,1.2185656772375788,1.3367944550402966
covidqu,sizinti_gudumlu,3,0.7823930213497635,0.940283466808436,0.7808314732142857,10997,43 51 53 60,23.87206131666608,1.1553992480772872,1.2706903557371982
covidqu,sizinti_gudumlu,4,0.826889381786248,0.9192396990869012,0.8255341198979592,8754,45 15 16 58,23.87206131666608,1.0921705132001158,1.2026291794273987
covidqu,sizinti_gudumlu,5,0.8615562906254133,0.8986169932992399,0.8603316326530612,7008,61 35 8 14,23.87206131666608,1.0475092593882036,1.1544536126090466
covidqu,sizinti_gudumlu,6,0.8995796170491069,0.8832385065149134,0.8986367984693877,5086,56 50 23 57,23.87206131666608,1.0025438223585974,1.1058652464603667
