veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,hiz_kazanci_256,hiz_kazanci_512
covidqu,tamamen_gizli,0,1.0,0.5,1.0,0,,1.121844085000339,1.0,1.0
covidqu,goruntu_roi,0,0.23444014568718113,0.9602221736110584,0.0,50176,,1.121844085000339,4.034641489716633,4.168931581369841
covidqu,kanonik,0,0.6335602180325256,0.9217261246264973,0.6309590242346939,18517,,1.121844085000339,1.4851846439326375,1.5697034543002573
covidqu,kanonik_genis8,0,0.7954915696747449,0.8746973037700668,0.7950613839285714,10283,,1.121844085000339,1.151502345355894,1.2568673272288047
covidqu,kanonik_genis16,0,0.9107902433434313,0.8168060821584092,0.9107142857142857,4480,,1.121844085000339,1.0258324120349058,1.0813613456425486
covidqu,kanonik_genis32,0,0.9962134785554844,0.6120750562786058,0.9962133290816326,190,,1.121844085000339,1.0010699932848757,1.0032037934808076
covidqu,kanonik_genis64,0,1.0,0.5,1.0,0,,1.121844085000339,1.0,1.0
covidqu,sizinti_gudumlu,1,0.6940606315768494,0.8725588786087473,0.6916254783163265,15473,7 52 6 15,1.121844085000339,1.3312666069166088,1.4446546874374078
covidqu,sizinti_gudumlu,2,0.7328191017617985,0.855763041725656,0.7307079081632653,13512,9 36 0 16,1.121844085000339,1.2483836168768934,1.374506434335106
covidqu,rastgele_0,2,0.7207509317203443,0.9101628687301314,0.7188097895408163,14109,,1.121844085000339,1.2730624646399964,1.3956068344511385
brain,tamamen_gizli,0,1.0,0.5,1.0,0,,1.3783073366668153,1.0,1.0
brain,goruntu_roi,0,0.015687269148522552,0.9352226126905391,0.0,50176,,1.3783073366668153,8.645220880443754,24.2397073749701
brain,kanonik,0,0.33372658878384176,0.8657582246353012,0.33358577806122447,33438,,1.3783073366668153,2.936150956800435,2.932681580963952
brain,kanonik_genis8,0,0.4386562410734123,0.8549214310272942,0.438655931122449,28166,,1.3783073366668153,2.2620017139419546,2.2172157045140874
brain,kanonik_genis16,0,0.5500239158163264,0.8720601987382937,0.5500239158163265,22578,,1.3783073366668153,1.7673192733089358,1.7827768639044397
brain,kanonik_genis32,0,0.7912747130102042,0.8599959086093762,0.7912747130102041,10473,,1.3783073366668153,1.1570195512428652,1.2645452109481738
brain,kanonik_genis64,0,0.9998405612244898,0.6583657877888379,0.9998405612244898,8,,1.3783073366668153,1.0000450079968308,1.0001344891600357
brain,sizinti_gudumlu,1,0.3943708503765036,0.8577123666120708,0.3942323022959184,30395,41 46 16 49,1.3783073366668153,2.5047178986975442,2.471713738678192
brain,sizinti_gudumlu,2,0.4568245437025899,0.8463268878036638,0.4567123724489796,27260,33 40 39 32,1.3783073366668153,2.17551375925728,2.1273529582365476
brain,rastgele_0,2,0.43448482802432786,0.8637741444969474,0.43437101403061223,28381,,1.3783073366668153,2.2828388432143356,2.238930189212688
